,Taxon,site_code,mean.drt.cover.yr1,mean.drt.cover.yr2,diff.drt.trt,leafN.mg.g,height.m,rootN.mg.g,SLA_m2.kg,root.depth_m,RTD.g.cm3,SRL_m.g,rootDiam.mm,local_lifeform,local_lifespan,functional_group,site.id
297,GALIUM SAXATILE,lygraint.no,1,2,1,25.1,0.175,NA,25.08983957,NA,NA,NA,NA,FORB,PERENNIAL,FORB,40
300,GENISTA SCORPIUS,ebro.es,5.560632001,4.166110667,-1.394521334,NA,1.5,NA,9.527159544,0.84,NA,NA,NA,SHRUB,PERENNIAL,LEGUME,22
304,GERANIUM MOLLE,cowidrt.ca,3.5,8.5,5,26.45,0.296666667,NA,23.20870159,0.53,0.329104478,289.9024475,0.112466667,FORB,THREE,FORB,19
305,GERANIUM PUSILLUM,jenadrt.de,12.33333333,54.33333333,42,17.47,0.2,NA,26.42,0.59,0.417391304,192.0238007,0.1212,FORB,BOTH,FORB,33
313,GYMNADENIA CONOPSEA,pineta.es,0.5,0.5,0,28.85621237,0.45,NA,19.92759166,0.07,NA,NA,NA,FORB,PERENNIAL,FORB,52
315,GYPSOPHILA STRUTHIUM,ciempoz.es,8.034,6.474,-1.56,16.70948548,0.6,NA,4.877171445,NA,NA,NA,NA,SHRUB,PERENNIAL,WOODY,17
316,GYPSOPHILA STRUTHIUM,ebro.es,2.835730333,5.02656,2.190829667,16.70948548,0.6,NA,4.877171445,NA,NA,NA,NA,SHRUB,PERENNIAL,WOODY,22
319,HELIANTHEMUM MARIFOLIUM,ebro.es,1.185808556,0.788599778,-0.397208778,NA,0.3,NA,7.659559676,0.28,NA,NA,NA,SHRUB,PERENNIAL,WOODY,22
322,HELIANTHEMUM SQUAMATUM,ebro.es,0.371756,0.36652,-0.005236,13.91070827,0.2,NA,5.358237548,0.65,NA,NA,NA,SUBSHRUB,PERENNIAL,WOODY,22
323,HELIANTHEMUM SQUAMATUM,ciempoz.es,1.514166667,1.31,-0.204166667,13.91070827,0.2,NA,5.358237548,0.65,NA,NA,NA,SUBSHRUB,PERENNIAL,WOODY,17
324,HELICHRYSUM STOECHAS,ebro.es,0.2258025,0.248273667,0.022471167,15.1,0.4,NA,14.05029913,0.52,0.652701216,6.114890701,0.49195,SHRUB,BOTH,WOODY,22
330,HEPATICA NOBILIS,pineta.es,3,1.75,-1.25,24,NA,NA,27.165,NA,NA,NA,NA,FORB,PERENNIAL,FORB,52
347,JUNIPERUS PHOENICEA,ebro.es,0.623084,0.456404667,-0.166679334,8.407,NA,NA,5.437737901,2.5,0.625121324,8.033595128,0.5192,SHRUB,PERENNIAL,WOODY,22
363,LEPIDIUM SUBULATUM,ciempoz.es,12.93785714,12.90428571,-0.033571426,19.94806715,0.3,NA,6.508870465,0.74,NA,NA,NA,SUBSHRUB,PERENNIAL,WOODY,17
393,LYSIMACHIA EUROPAEA,lygraint.no,1,1,0,32.8,0.09,NA,51,NA,NA,NA,NA,FORB,PERENNIAL,FORB,40
402,MOLINIA CAERULEA,lygraint.no,6,1,-5,19.7245873,0.699125,8.366751778,17.87260174,0.8,0.20066,56.8752851,0.269333333,GRASS,PERENNIAL,GRASS,40
403,MOLINIA CAERULEA,lygraold.no,1.5,7.333333333,5.833333333,19.7245873,0.699125,8.366751778,17.87260174,0.8,0.20066,56.8752851,0.269333333,GRASS,PERENNIAL,GRASS,41
406,NARTHECIUM OSSIFRAGUM,lygraold.no,3,2,-1,24.7,0.2325,NA,24.15,0.22,NA,NA,NA,FORB,PERENNIAL,FORB,41
410,NEOTTIA OVATA,pineta.es,1.75,1.333333333,-0.416666667,NA,0.32,NA,30.18571429,NA,NA,NA,NA,FORB,PERENNIAL,FORB,52
425,PEDICULARIS SYLVATICA,lygraint.no,1,1,0,NA,0.161666667,24.01,11.55,NA,NA,NA,NA,FORB,"BIENNIAL, PERENNIAL",FORB,40
474,POTENTILLA ERECTA,pineta.es,3,3,0,25.74581524,0.203633333,9.89,22.4188617,0.55,0.3627833,230,0.88602,FORB,PERENNIAL,FORB,52
475,POTENTILLA ERECTA,lygraold.no,3,8,5,25.74581524,0.203633333,9.89,22.4188617,0.55,0.3627833,230,0.88602,FORB,PERENNIAL,FORB,41
476,POTENTILLA ERECTA,lygraint.no,2.333333333,2.666666667,0.333333334,25.74581524,0.203633333,9.89,22.4188617,0.55,0.3627833,230,0.88602,FORB,PERENNIAL,FORB,40
487,PTILOTUS POLYSTACHYUS,ethadb.au,21,0.1,-20.9,23.98,1,NA,9.6,NA,NA,37,NA,FORB,PERENNIAL,FORB,25
531,SETARIA PARVIFLORA,yarradrt.au,3.333333333,2.04,-1.293333333,17.972,0.316785714,NA,26.31,NA,0.14029,NA,0.045,NULL,PERENNIAL,GRASS,62
546,SOLIDAGO VIRGAUREA,pineta.es,0,0.5,0.5,28.29400969,0.509,16.4,25.12385635,0.046,NA,4.546172562,0.524574564,FORB,PERENNIAL,FORB,52
552,SORBUS AUCUPARIA,lygraold.no,2,1,-1,22.42468397,12.84846655,10.49866006,18.97387301,0.7112,0.252348857,120.9392604,1.3965,TREE,PERENNIAL,WOODY,41
593,THYMELAEA TINCTORIA,ebro.es,3.45576,3.409508667,-0.046251333,NA,0.038,NA,7.45,1.46,NA,NA,NA,SHRUB,PERENNIAL,WOODY,22
601,TRICHOPHORUM CESPITOSUM,lygraold.no,12.5,6,-6.5,15.3,0.4,4.4,3.79,0.1,0.199,35.47,0.425,GRAMINOID,PERENNIAL,GRAMINOID,41
602,TRICHOPHORUM CESPITOSUM,lygraint.no,11,9.5,-1.5,15.3,0.4,4.4,3.79,0.1,0.199,35.47,0.425,GRAMINOID,PERENNIAL,GRAMINOID,40
603,TRIENTALIS EUROPEA,lygraold.no,1,1,0,NA,NA,NA,47.591,NA,NA,NA,NA,FORB,PERENNIAL,FORB,41
618,VACCINIUM MYRTILLUS,lygraold.no,15,10,-5,18.74819405,0.386262821,5.5077,20.04821764,0.007,0.094987,7,0.35,SUBSHRUB,PERENNIAL,WOODY,41
619,VACCINIUM MYRTILLUS,lygraint.no,2,4,2,18.74819405,0.386262821,5.5077,20.04821764,0.007,0.094987,7,0.35,SUBSHRUB,PERENNIAL,WOODY,40
620,VACCINIUM ULIGINOSUM,lygraint.no,1,1,0,19.4998079,0.470266667,4.2,13.90672208,0.2274,0.1278406,162.5,0.124,SUBSHRUB,PERENNIAL,WOODY,40
621,VACCINIUM ULIGINOSUM,lygraold.no,3.5,2,-1.5,19.4998079,0.470266667,4.2,13.90672208,0.2274,0.1278406,162.5,0.124,SUBSHRUB,PERENNIAL,WOODY,41
622,VACCINIUM VITIS-IDAEA,lygraold.no,10.33333333,9,-1.33333333,10.93425771,0.231449383,6.33333,9.170438572,0.2024,NA,NA,1.25,SUBSHRUB,PERENNIAL,WOODY,41
623,VACCINIUM VITIS-IDAEA,lygraint.no,7,7,0,10.93425771,0.231449383,6.33333,9.170438572,0.2024,NA,NA,1.25,SUBSHRUB,PERENNIAL,WOODY,40
1,ACAENA PINNATIFIDA,paike.ar,1,1,0,NA,0.025,NA,9.38,NA,NA,NA,NA,FORB,PERENNIAL,FORB,50
2,ACER MACROPHYLLUM,cowidrt.ca,1,0,-1,26.4,NA,15,29.548,0.6096,NA,NA,NA,TREE,PERENNIAL,WOODY,19
3,ACHILLEA MILLEFOLIUM,kernb.ca,2.666666667,3,0.333333333,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,FORB,PERENNIAL,FORB,35
4,ACHILLEA MILLEFOLIUM,cedartrait.us,1,0,-1,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,FORB,PERENNIAL,FORB,12
5,ACHILLEA MILLEFOLIUM,brookdale.ca,1.5,1,-0.5,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,FORB,PERENNIAL,FORB,8
6,ACHILLEA MILLEFOLIUM,kinsella.ca,15,15,0,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,FORB,PERENNIAL,FORB,37
7,ACHILLEA MILLEFOLIUM,jenadrt.de,0,1,1,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,FORB,PERENNIAL,FORB,33
8,ACHILLEA MILLEFOLIUM,oreac.us,1.833333333,1,-0.833333333,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,FORB,PERENNIAL,FORB,49
9,ACHILLEA MILLEFOLIUM,matador.ca,1,0,-1,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,FORB,PERENNIAL,FORB,43
10,ACHILLEA MILLEFOLIUM,allmendb.ch,1.25,1.416666667,0.166666667,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,FORB,PERENNIAL,FORB,1
11,ACHILLEA MILLEFOLIUM,hard.us,2,1.666666667,-0.333333333,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,FORB,PERENNIAL,FORB,30
12,ACHILLEA MILLEFOLIUM,elvadrt.ee,6.666666667,5.666666667,-1,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,FORB,PERENNIAL,FORB,23
13,ACHILLEA MILLEFOLIUM,allmendo.ch,0.75,1.25,0.5,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,FORB,PERENNIAL,FORB,2
14,AGASTACHE FOENICULUM,brookdale.ca,1.5,1.5,0,14.7,NA,NA,15.29,0.124,0.18,56.33396667,0.42,FORB,PERENNIAL,FORB,8
15,AGRIMONIA EUPATORIA,elvadrt.ee,1,1,0,14.78,0.087,14.78,13.66,1.55,0.1143,0.335,NA,FORB,PERENNIAL,FORB,23
18,AGROSTIS CAPILLARIS,pineta.es,37.16666667,2.166666667,-35,27.65006595,0.393022873,8.907142857,29.44748071,0.3048,0.230872486,141.2639378,0.128571429,GRASS,PERENNIAL,GRASS,52
19,AGROSTIS CAPILLARIS,lygraint.no,1,0,-1,27.65006595,0.393022873,8.907142857,29.44748071,0.3048,0.230872486,141.2639378,0.128571429,GRASS,PERENNIAL,GRASS,40
20,AGROSTIS MONTEVIDENSIS,marcdrt.ar,5.5,5.333333333,-0.166666667,NA,0.229358974,NA,12,NA,NA,NA,NA,FORB,PERENNIAL,GRASS,42
21,AGROSTIS RUPESTRIS,passogavia.it,1.7,1.7,0,17,0.035,NA,15.5,NA,NA,NA,NA,GRASS,PERENNIAL,GRASS,51
23,ALCHEMILLA PENTAPHYLLEA,passogavia.it,53.8,52,-1.8,37,NA,NA,21,NA,NA,NA,NA,FORB,PERENNIAL,FORB,51
24,ALLIONIA INCARNATA,cerrillos.ar,1.25,1.88,0.63,NA,0.4,NA,21.88917424,0.4,NA,10.31,0.665,FORB,PERENNIAL,FORB,13
25,ALLIUM ACUMINATUM,oreaa.us,1,0.5,-0.5,NA,0.3048,NA,8.45,0.1524,NA,NA,1.64,FORB,PERENNIAL,FORB,48
26,ALOPECURUS PRATENSIS,validate.fr,16.4,20.6,4.2,23.8325776,0.806266667,9.698958476,27.30021588,0.3048,0.069943613,230.6921222,0.305414955,GRASS,PERENNIAL,GRASS,61
28,AMBROSIA PSILOSTACHYA,slp.us,10.33333333,1,-9.33333333,23.246,0.4385,12.9,15.82842,0.99,0.37,72.86943333,0.44,FORB,PERENNIAL,FORB,58
29,AMBROSIA PSILOSTACHYA,konzadrt.us,11.8,0,-11.8,23.246,0.4385,12.9,15.82842,0.99,0.37,72.86943333,0.44,FORB,PERENNIAL,FORB,38
30,AMBROSIA PSILOSTACHYA,oklah.us,19,11,-8,23.246,0.4385,12.9,15.82842,0.99,0.37,72.86943333,0.44,FORB,PERENNIAL,FORB,47
31,AMBROSIA TENUIFOLIA,marcdrt.ar,1,2,1,18.2,4.572,NA,9.366271504,0.6096,NA,NA,NA,FORB,PERENNIAL,FORB,42
32,AMBROSIA TENUIFOLIA,chilcasdrt.ar,2.958333333,0.25,-2.708333333,18.2,4.572,NA,9.366271504,0.6096,NA,NA,NA,FORB,PERENNIAL,FORB,16
33,AMORPHA CANESCENS,cedarsav.us,6.75,3.5,-3.25,22.25861206,0.446,27.18327333,13.80561828,0.508,0.59,45.95532256,0.19,FORB,PERENNIAL,LEGUME,11
34,AMORPHA CANESCENS,cedartrait.us,0,2,2,22.25861206,0.446,27.18327333,13.80561828,0.508,0.59,45.95532256,0.19,FORB,PERENNIAL,LEGUME,12
36,ANDROPOGON GERARDII,cedarsav.us,8.8,9,0.2,11.43191184,1.43,14.4,7.475763032,0.508,0.2,65.1,0.7,GRASS,PERENNIAL,GRASS,11
37,ANDROPOGON GERARDII,brookdale.ca,2.611111111,1.25,-1.361111111,11.43191184,1.43,14.4,7.475763032,0.508,0.2,65.1,0.7,GRASS,PERENNIAL,GRASS,8
38,ANDROPOGON GERARDII,cedartrait.us,6.4,1,-5.4,11.43191184,1.43,14.4,7.475763032,0.508,0.2,65.1,0.7,GRASS,PERENNIAL,GRASS,12
39,ANDROPOGON GERARDII,konzadrt.us,53.6,15,-38.6,11.43191184,1.43,14.4,7.475763032,0.508,0.2,65.1,0.7,GRASS,PERENNIAL,GRASS,38
40,ANTHOXANTHUM ODORATUM,lygraint.no,0,1,1,23.59023243,0.383753535,8.005555556,24.91123988,0.155,0.107066623,344.3025853,0.111111111,GRASS,PERENNIAL,GRASS,40
41,ANTHOXANTHUM ODORATUM,cowidrt.ca,3.4,1,-2.4,23.59023243,0.383753535,8.005555556,24.91123988,0.155,0.107066623,344.3025853,0.111111111,GRASS,PERENNIAL,GRASS,19
42,ANTHOXANTHUM ODORATUM,passogavia.it,0,0.2,0.2,23.59023243,0.383753535,8.005555556,24.91123988,0.155,0.107066623,344.3025853,0.111111111,GRASS,PERENNIAL,GRASS,51
43,ANTHOXANTHUM ODORATUM,rhijn.nl,0,4.333333333,4.333333333,23.59023243,0.383753535,8.005555556,24.91123988,0.155,0.107066623,344.3025853,0.111111111,GRASS,PERENNIAL,GRASS,53
44,ANTHOXANTHUM ODORATUM,elvadrt.ee,1.5,1.333333333,-0.166666667,23.59023243,0.383753535,8.005555556,24.91123988,0.155,0.107066623,344.3025853,0.111111111,GRASS,PERENNIAL,GRASS,23
45,ANTHYLLIS VULNERARIA,allmendo.ch,1.5,1.916666667,0.416666667,32.33118574,0.2845,19.6042,18.21819656,1.7,0.22014466,149.3012403,0.25,FORB,PERENNIAL,LEGUME,2
47,APHYLLANTHES MONSPELIENSIS,ayora.es,1,0,-1,21.4,0.22,NA,5,0.8,NA,NA,NA,FORB,PERENNIAL,FORB,4
49,ARGYROLOBIUM ZANONII,ayora.es,1,0,-1,22.77,0.1,NA,13,0.72,NA,NA,NA,SUBSHRUB,PERENNIAL,LEGUME,4
53,ARISTIDA JUNCIFORMIS,ukulingadrt.za,9,25,16,9.7441916,NA,NA,8.6,NA,NA,NA,NA,GRASS,PERENNIAL,GRASS,60
54,ARMERIA MARITIMA,paike.ar,1,1,0,17,0.308106667,9.3,21.1502,0.254,0.2612175,57.875,0.221876923,FORB,PERENNIAL,FORB,50
55,ARRHENATHERUM ELATIUS,rhijn.nl,20,23.33333333,3.333333333,25.84,0.857,8.902914385,29.67,0.3556,0.119407807,190.1954961,0.304707692,"GRASS, Forb (Jena)",PERENNIAL,GRASS,53
56,ARRHENATHERUM ELATIUS,validate.fr,9.6,11.6,2,25.84,0.857,8.902914385,29.67,0.3556,0.119407807,190.1954961,0.304707692,"GRASS, Forb (Jena)",PERENNIAL,GRASS,61
57,ARTEMISIA CANA,oreac.us,34.5,28,-6.5,24,1.524,NA,10.06,0.508,0.261669741,55.91952402,0.31,SHRUB,PERENNIAL,WOODY,49
58,ARTEMISIA FRIGIDA,matador.ca,1.333333333,1.166666667,-0.166666666,27.14787037,0.6096,13.115,15.13958917,0.2032,0.362103739,34.74405462,0.188200863,"FORB, Subshrub (Kinsella, Mattheis), Shrub (North Platte)",PERENNIAL,WOODY,43
59,ARTEMISIA FRIGIDA,biddulph.ca,2,10,8,27.14787037,0.6096,13.115,15.13958917,0.2032,0.362103739,34.74405462,0.188200863,"FORB, Subshrub (Kinsella, Mattheis), Shrub (North Platte)",PERENNIAL,WOODY,7
60,ARTEMISIA FRIGIDA,kernb.ca,6.666666667,6.666666667,-3.33E-10,27.14787037,0.6096,13.115,15.13958917,0.2032,0.362103739,34.74405462,0.188200863,"FORB, Subshrub (Kinsella, Mattheis), Shrub (North Platte)",PERENNIAL,WOODY,35
61,ARTEMISIA FRIGIDA,kernnu.ca,0,0.5,0.5,27.14787037,0.6096,13.115,15.13958917,0.2032,0.362103739,34.74405462,0.188200863,"FORB, Subshrub (Kinsella, Mattheis), Shrub (North Platte)",PERENNIAL,WOODY,36
62,ARTEMISIA FRIGIDA,kinsella.ca,14.5,14.5,0,27.14787037,0.6096,13.115,15.13958917,0.2032,0.362103739,34.74405462,0.188200863,"FORB, Subshrub (Kinsella, Mattheis), Shrub (North Platte)",PERENNIAL,WOODY,37
63,ARTEMISIA FRIGIDA,mattheis.ca,17.6,10,-7.6,27.14787037,0.6096,13.115,15.13958917,0.2032,0.362103739,34.74405462,0.188200863,"FORB, Subshrub (Kinsella, Mattheis), Shrub (North Platte)",PERENNIAL,WOODY,44
64,ARTEMISIA LUDOVICIANA,kernnu.ca,3,2.5,-0.5,19.24454545,0.597,11.63,16.4954108,0.2032,0.222016659,76.92231348,0.31821746,FORB,PERENNIAL,FORB,36
65,ARTEMISIA LUDOVICIANA,biddulph.ca,1,3,2,19.24454545,0.597,11.63,16.4954108,0.2032,0.222016659,76.92231348,0.31821746,FORB,PERENNIAL,FORB,7
66,ARTEMISIA LUDOVICIANA,kernb.ca,3,1.75,-1.25,19.24454545,0.597,11.63,16.4954108,0.2032,0.222016659,76.92231348,0.31821746,FORB,PERENNIAL,FORB,35
67,ARTEMISIA LUDOVICIANA,brookdale.ca,1.95,1.458333333,-0.491666667,19.24454545,0.597,11.63,16.4954108,0.2032,0.222016659,76.92231348,0.31821746,FORB,PERENNIAL,FORB,8
68,ARTEMISIA LUDOVICIANA,cedarsav.us,1,2,1,19.24454545,0.597,11.63,16.4954108,0.2032,0.222016659,76.92231348,0.31821746,FORB,PERENNIAL,FORB,11
69,ARTEMISIA TRIDENTATA,nplatte.us,0,3,3,15.26666667,2.0334,NA,7.24415531,0.508,NA,76.06224385,0.485315,SHRUB,PERENNIAL,WOODY,46
70,ARTEMISIA TRIDENTATA,hard.us,35,35,0,15.26666667,2.0334,NA,7.24415531,0.508,NA,76.06224385,0.485315,SHRUB,PERENNIAL,WOODY,30
71,ASCLEPIAS VIRIDIS,konzadrt.us,3,0,-3,NA,0.456,NA,10.46681531,NA,0.320746666,41.57111916,0.36446,FORB,PERENNIAL,FORB,38
72,ASPERULA CYNANCHICA,allmendo.ch,2.375,2.375,0,NA,0.284375,NA,27.91666667,0.93,0.3908625,22.875,0.16639,FORB,PERENNIAL,FORB,2
73,ASPERULA CYNANCHICA,allmendb.ch,0.25,0.25,0,NA,0.284375,NA,27.91666667,0.93,0.3908625,22.875,0.16639,FORB,PERENNIAL,FORB,1
74,ASPERULA GUNNII,falls.au,0,0.5,0.5,NA,0.432,NA,21.796842,NA,NA,NA,NA,FORB,PERENNIAL,FORB,27
75,ASTEROLASIA TRYMALIOIDES,falls.au,0.75,0.5,-0.25,NA,0.54,NA,4.969295,NA,NA,NA,NA,SHRUB,PERENNIAL,WOODY,27
82,BELLIS PERENNIS,jenadrt.de,5,1.333333333,-3.666666667,17.81,0.165,8.4,34.15,0.18,0.130088142,324.9590331,0.243322583,FORB,PERENNIAL,FORB,33
83,BERBERIS NERVOSA,cowidrt.ca,50,20,-30,NA,0.6096,NA,10.38,0.4064,NA,18.14285714,NA,SHRUB,PERENNIAL,WOODY,19
84,BOERHAVIA DIFFUSA,cerrillos.ar,0.63,1.25,0.62,NA,0.55,NA,20.76,1.2,NA,14.29,NA,FORB,PERENNIAL,FORB,13
85,BOTHRIOCHLOA LAGUROIDES,oklah.us,7.75,0,-7.75,NA,NA,NA,26,NA,NA,NA,NA,GRASS,PERENNIAL,GRASS,47
87,BOUTELOUA CURTIPENDULA,konzadrt.us,3.5,20,16.5,8.7,0.427,8.84,14.60867,0.3048,0.19,94.40056667,0.032,GRASS,PERENNIAL,GRASS,38
88,BOUTELOUA GRACILIS,nplatte.us,20.8,5.142857143,-15.65714286,15.416,0.345,14.76,12.868115,0.135,0.447182567,118.8815333,0.192729167,GRASS,PERENNIAL,GRASS,46
89,BOUTELOUA GRACILIS,mattheis.ca,26,23,-3,15.416,0.345,14.76,12.868115,0.135,0.447182567,118.8815333,0.192729167,GRASS,PERENNIAL,GRASS,44
90,BOUTELOUA GRACILIS,cedartrait.us,8,0,-8,15.416,0.345,14.76,12.868115,0.135,0.447182567,118.8815333,0.192729167,GRASS,PERENNIAL,GRASS,12
92,BRACHYPODIUM PINNATUM,pineta.es,15.5,4.5,-11,18.10766667,0.540866667,7.10106212,23.9927357,0.1,0.186379697,207.6695041,0.22129993,GRASS,PERENNIAL,GRASS,52
93,BRACHYPODIUM PINNATUM,allmendo.ch,6.083333333,4.5,-1.583333333,18.10766667,0.540866667,7.10106212,23.9927357,0.1,0.186379697,207.6695041,0.22129993,GRASS,PERENNIAL,GRASS,2
94,BRACHYPODIUM PINNATUM,allmendb.ch,13,11.58333333,-1.416666667,18.10766667,0.540866667,7.10106212,23.9927357,0.1,0.186379697,207.6695041,0.22129993,GRASS,PERENNIAL,GRASS,1
95,BRACHYPODIUM RETUSUM,ayora.es,24.33333333,30,5.66666667,7.1,0.4,NA,16.24363109,0.2586667,NA,25.86916574,0.85,GRASS,PERENNIAL,GRASS,4
104,BROMUS ERECTUS,allmendo.ch,15.66666667,15.25,-0.41666667,18.81892435,0.717333333,7.243150315,21.09580137,0.894,0.174709631,157.1212818,0.273789089,GRASS,PERENNIAL,GRASS,2
105,BROMUS ERECTUS,allmendb.ch,22.08333333,17.58333333,-4.499999997,18.81892435,0.717333333,7.243150315,21.09580137,0.894,0.174709631,157.1212818,0.273789089,GRASS,PERENNIAL,GRASS,1
108,BROMUS INERMIS,brookdale.ca,3.65,2.4,-1.25,21.49936399,0.81,17.20145333,17.7899321,0.3048,0.268601793,108.7724975,0.281416667,GRASS,PERENNIAL,GRASS,8
114,BROMUS SETIFOLIUS,paike.ar,2.5,2.5,0,NA,0.102,NA,20.31,NA,NA,NA,NA,GRASS,PERENNIAL,GRASS,50
119,CALAMOVILFA LONGIFOLIA,cedarsav.us,5,2.5,-2.5,13.59,0.968,5.2246,10.96892152,0.508,0.18,33,0.48,GRAMINOID,PERENNIAL,GRASS,11
120,CALLUNA VULGARIS,lygraold.no,83.33333333,91.66666667,8.333333337,13.57486595,0.555785714,4.11401,14.28693018,0.3,NA,13.62532988,0.2553,"SHRUB, subshrub (Lygra_intermediate, Lygra_old)",PERENNIAL,WOODY,41
121,CALLUNA VULGARIS,lygraint.no,78.33333333,81.33333333,3.000000003,13.57486595,0.555785714,4.11401,14.28693018,0.3,NA,13.62532988,0.2553,"SHRUB, subshrub (Lygra_intermediate, Lygra_old)",PERENNIAL,WOODY,40
122,CALLUNA VULGARIS,hyide.de,65.66666667,90,24.33333333,13.57486595,0.555785714,4.11401,14.28693018,0.3,NA,13.62532988,0.2553,"SHRUB, subshrub (Lygra_intermediate, Lygra_old)",PERENNIAL,WOODY,32
