,Taxon,site_code,mean.drt.cover.yr1,mean.drt.cover.yr2,diff.drt.trt,leafN.mg.g,height.m,rootN.mg.g,SLA_m2.kg,root.depth_m,RTD.g.cm3,SRL_m.g,rootDiam.mm,local_lifeform,local_lifespan,functional_group,site.id
482,PRUNELLA VULGARIS,allmendb.ch,14.08333333,11.25,-2.83333333,16.811555,0.250255556,5.87871,22.91466839,0.254,0.105496279,223.0600732,0.294300536,FORB,PERENNIAL,FORB,1
483,PSEUDOROEGNERIA SPICATA,hard.us,1,2,1,NA,0.267,NA,23.893,NA,0.153771092,103.8213416,0.237714286,GRASS,PERENNIAL,GRASS,30
484,PSORALIDIUM TENUIFLORUM,konzadrt.us,14.8,2.8,-12,24.275,0.056,NA,16.82,2.7686,0.43,NA,0.67,FORB,PERENNIAL,LEGUME,38
485,PTILOTUS OBOVATUS,credoj.au,0.75,0.7,-0.05,26.894035,0.566666667,NA,7.440821539,NA,NA,NA,NA,SHRUB,PERENNIAL,WOODY,20
486,PTILOTUS OBOVATUS,credom.au,1.25,1.75,0.5,26.894035,0.566666667,NA,7.440821539,NA,NA,NA,NA,SHRUB,PERENNIAL,WOODY,21
488,QUERCUS ELLIPSOIDALIS,cedarsav.us,20,22.66666667,2.666666667,24.88184444,NA,14.4,18.07068773,NA,NA,66.5,NA,TREE,PERENNIAL,WOODY,11
489,QUERCUS MACROCARPA,cedarsav.us,15,0,-15,22.33361905,NA,10.65875833,17.62680085,0.7112,NA,63.21181567,0.28756,TREE,PERENNIAL,WOODY,11
490,RANUNCULUS ACRIS,elvadrt.ee,2,2,0,24.40250649,0.455420833,11.25,22.35741937,0.44,0.121892828,139.8527763,0.35099,FORB,PERENNIAL,FORB,23
491,RANUNCULUS ACRIS,rhijn.nl,3,2,-1,24.40250649,0.455420833,11.25,22.35741937,0.44,0.121892828,139.8527763,0.35099,FORB,PERENNIAL,FORB,53
494,RATIBIDA COLUMNIFERA,oklah.us,0.5,0.5,0,NA,0.94488,NA,22.85,0.3556,NA,56,0.66,FORB,PERENNIAL,FORB,47
497,RHUS COPALLINUM,oklah.us,0.5,0,-0.5,NA,1.523547826,NA,15.20265619,0.3556,NA,NA,NA,TREE,PERENNIAL,WOODY,47
498,ROSA ACICULARIS,brookdale.ca,1.566666667,1.15,-0.416666667,10.65,0.762,19.83128735,18.42,0.1524,0.27,55.8341358,0.2912,SHRUB,PERENNIAL,WOODY,8
499,ROSA ARKANSANA,kernb.ca,5.666666667,6.333333333,0.666666666,17.3145,0.292,NA,17.98307476,NA,0.421153994,41.52607134,0.30555,SHRUB,PERENNIAL,WOODY,35
500,ROSA ARKANSANA,cedartrait.us,15,8,-7,17.3145,0.292,NA,17.98307476,NA,0.421153994,41.52607134,0.30555,SHRUB,PERENNIAL,WOODY,12
501,ROSA ARKANSANA,biddulph.ca,1,3,2,17.3145,0.292,NA,17.98307476,NA,0.421153994,41.52607134,0.30555,SHRUB,PERENNIAL,WOODY,7
502,ROSA ARKANSANA,kernnu.ca,9.25,7,-2.25,17.3145,0.292,NA,17.98307476,NA,0.421153994,41.52607134,0.30555,SHRUB,PERENNIAL,WOODY,36
503,ROSMARINUS OFFICINALIS,ayora.es,80.33333333,81.33333333,1.000000003,9.43,1,NA,3.117747146,0.364,0.534580651,11.79132349,0.424333333,SHRUB,PERENNIAL,WOODY,4
504,ROSMARINUS OFFICINALIS,ebro.es,19.75746422,14.46299555,-5.294468667,9.43,1,NA,3.117747146,0.364,0.534580651,11.79132349,0.424333333,SHRUB,PERENNIAL,WOODY,22
507,RUELLIA HUMILIS,konzadrt.us,2,3,1,17,0.502906667,NA,12.07550636,0.1016,0.40803047,18.40109592,0.42,FORB,PERENNIAL,FORB,38
508,RYTIDOSPERMA CAESPITOSUM,credom.au,0.5,0.5,0,NA,0.55,NA,9.440331,0.66,NA,168.7,0.271,GRASS,PERENNIAL,GRASS,21
509,SALIX HERBACEA,passogavia.it,0.55,0.3,-0.25,23.22611667,0.034166667,10.25,16.45337359,NA,0.152,NA,0.92,SHRUB,PERENNIAL,WOODY,51
510,SALIX REPENS,hoide.de,15,30,15,17.00382579,0.812,5.44,12.90991206,0.2303,0.152,NA,NA,SHRUB,PERENNIAL,WOODY,31
512,SALVIA PRATENSIS,allmendb.ch,3.25,2.25,-1,19.3,0.520833333,NA,24.4875,2.1,0.2015038,272.308,2.015308,FORB,PERENNIAL,FORB,1
513,SALVIA PRATENSIS,allmendo.ch,3.875,3.25,-0.625,19.3,0.520833333,NA,24.4875,2.1,0.2015038,272.308,2.015308,FORB,PERENNIAL,FORB,2
516,SANGUISORBA MINOR,allmendo.ch,0.5,0.75,0.25,19.82857143,0.340136667,13.0925861,17.81475981,0.3048,0.290931094,118.7237432,0.4611271,FORB,PERENNIAL,FORB,2
517,SANGUISORBA MINOR,allmendb.ch,2.5,2,-0.5,19.82857143,0.340136667,13.0925861,17.81475981,0.3048,0.290931094,118.7237432,0.4611271,FORB,PERENNIAL,FORB,1
518,SCABIOSA COLUMBARIA,ukulingadrt.za,4,10,6,21.2,0.594444444,NA,19.16302632,0.9,0.347953216,120.2294669,0.181166667,FORB,PERENNIAL,FORB,60
519,SCABIOSA COLUMBARIA,allmendo.ch,1.625,1,-0.625,21.2,0.594444444,NA,19.16302632,0.9,0.347953216,120.2294669,0.181166667,FORB,PERENNIAL,FORB,2
520,SCABIOSA COLUMBARIA,allmendb.ch,1,1.5,0.5,21.2,0.594444444,NA,19.16302632,0.9,0.347953216,120.2294669,0.181166667,FORB,PERENNIAL,FORB,1
523,SCHIZACHYRIUM SCOPARIUM,cedarsav.us,17,14,-3,9.196,0.5145,8.51,16.698695,0.3048,0.403212551,75.67983333,0.2,GRASS,PERENNIAL,GRASS,11
524,SCHIZACHYRIUM SCOPARIUM,cedartrait.us,6,2.4,-3.6,9.196,0.5145,8.51,16.698695,0.3048,0.403212551,75.67983333,0.2,GRASS,PERENNIAL,GRASS,12
525,SCHIZACHYRIUM SCOPARIUM,oklah.us,54.16666667,30,-24.16666667,9.196,0.5145,8.51,16.698695,0.3048,0.403212551,75.67983333,0.2,GRASS,PERENNIAL,GRASS,47
526,SCHIZACHYRIUM SCOPARIUM,bfl.us,6,7,1,9.196,0.5145,8.51,16.698695,0.3048,0.403212551,75.67983333,0.2,GRASS,PERENNIAL,GRASS,6
527,SCORZONEROIDES AUTUMNALIS,elvadrt.ee,0,1,1,19.34660756,0.310966667,NA,21.52466367,0.199327,0.3144167,268.333,1.400488,FORB,PERENNIAL,FORB,23
528,SEDUM STENOPETALUM,oreaa.us,2.875,2.125,-0.75,NA,0.1118,NA,9.29,0.1,NA,NA,0.58,FORB,PERENNIAL,FORB,48
529,SENNA BAUHINIOIDES,jorndrt.us,1.25,1,-0.25,NA,NA,NA,14.29802652,1.7,NA,7.894687,0.376666667,FORB,PERENNIAL,LEGUME,34
530,SETARIA PAMPEANA,cerrillos.ar,3.75,3.75,0,24.7,0.38,NA,19.52,NA,NA,NA,NA,GRASS,PERENNIAL,GRASS,13
532,SETARIA SPHACELATA,ukulingadrt.za,6,41.5,35.5,10.0375,3,NA,14.16,NA,NA,11.17,0.57,GRASS,PERENNIAL,GRASS,60
533,SISYRINCHIUM BELLUM,scruzh.us,1.8340046,4.75,2.9159954,22.35,0.2558,NA,23.93793933,NA,0.101107003,118.754489,0.32952,FORB,PERENNIAL,FORB,55
534,SISYRINCHIUM MONTANUM,kinsella.ca,2,2,0,NA,0.225,NA,19.78,NA,NA,NA,NA,FORB,PERENNIAL,FORB,37
535,SOLDANELLA PUSILLA,passogavia.it,13.6,12.6,-1,NA,0.02,NA,16.8,0.11,NA,NA,NA,FORB,PERENNIAL,FORB,51
536,SOLIDAGO CANADENSIS,esw.ca,27,24.66666667,-2.333333333,15.13338959,1.30146,NA,17.75668436,0.3048,NA,77.59504262,0.486273328,FORB,PERENNIAL,FORB,24
537,SOLIDAGO CANADENSIS,baddrt.de,0.15,0.2,0.05,15.13338959,1.30146,NA,17.75668436,0.3048,NA,77.59504262,0.486273328,FORB,PERENNIAL,FORB,5
538,SOLIDAGO CANADENSIS,brookdale.ca,2.9,1.9,-1,15.13338959,1.30146,NA,17.75668436,0.3048,NA,77.59504262,0.486273328,FORB,PERENNIAL,FORB,8
539,SOLIDAGO MISSOURIENSIS,kernb.ca,1,1,0,13.3335,0.576,10.93,10.60804205,0.2032,0.208174196,100.2127031,0.323716667,FORB,PERENNIAL,FORB,35
540,SOLIDAGO MISSOURIENSIS,kinsella.ca,5,5,0,13.3335,0.576,10.93,10.60804205,0.2032,0.208174196,100.2127031,0.323716667,FORB,PERENNIAL,FORB,37
541,SOLIDAGO NEMORALIS,cedartrait.us,7,8.5,1.5,15.47778333,0.57,23.31317375,13.95394921,0.3048,0.129791058,208.2087011,0.369872222,FORB,PERENNIAL,FORB,12
542,SOLIDAGO NEMORALIS,oklah.us,7.75,15,7.25,15.47778333,0.57,23.31317375,13.95394921,0.3048,0.129791058,208.2087011,0.369872222,FORB,PERENNIAL,FORB,47
543,SOLIDAGO RIGIDA,cedartrait.us,9,10,1,11.83477126,0.598,8.386758333,10.23214847,0.3048,0.212780118,35.33592984,0.482373411,FORB,PERENNIAL,FORB,12
544,SOLIDAGO RIGIDA,brookdale.ca,1.5,2,0.5,11.83477126,0.598,8.386758333,10.23214847,0.3048,0.212780118,35.33592984,0.482373411,FORB,PERENNIAL,FORB,8
545,SOLIDAGO RIGIDA,oklah.us,3,11,8,11.83477126,0.598,8.386758333,10.23214847,0.3048,0.212780118,35.33592984,0.482373411,FORB,PERENNIAL,FORB,47
547,SONCHUS ARVENSIS,kernb.ca,1.25,1,-0.25,26.4,1.1875,NA,21,0.56,0.219369,40.215,NA,FORB,PERENNIAL,FORB,35
548,SONCHUS ARVENSIS,brookdale.ca,1.95,1.5,-0.45,26.4,1.1875,NA,21,0.56,0.219369,40.215,NA,FORB,PERENNIAL,FORB,8
549,SONCHUS ARVENSIS,esw.ca,2,5,3,26.4,1.1875,NA,21,0.56,0.219369,40.215,NA,FORB,PERENNIAL,FORB,24
550,SONCHUS ARVENSIS,kernnu.ca,7.166666667,6,-1.166666667,26.4,1.1875,NA,21,0.56,0.219369,40.215,NA,FORB,PERENNIAL,FORB,36
553,SORGHUM HALEPENSE,sclaudio.ar,15.25,9,-6.25,22.2,1.3834,NA,17.98889051,0.254,NA,NA,NA,GRAMINOID,PERENNIAL,GRASS,54
554,SPHAERALCEA HASTULATA,antelope.us,2,1,-1,NA,NA,NA,14.04606421,2.5,NA,10.52042,0.492,FORB,PERENNIAL,FORB,3
555,SPOROBOLUS COMPOSITUS,oklah.us,10.16666667,10.16666667,-3.33E-09,8.2,0.213,NA,28.13,NA,NA,NA,0.49,GRASS,PERENNIAL,GRASS,47
556,SPOROBOLUS FLEXUOSUS,jorndrt.us,12,1.666666667,-10.33333333,NA,0.9144,NA,15.81345753,0.254,NA,NA,0.04,GRASS,PERENNIAL,GRASS,34
557,STEINCHISMA HIANS,slp.us,44,8,-36,NA,NA,NA,25,NA,NA,NA,NA,GRASS,PERENNIAL,GRASS,58
558,STELLARIA GRAMINEA,elvadrt.ee,1,1,0,29.426,0.460386667,NA,29.05086069,0.34,0.337078652,251.0337458,0.135266667,FORB,PERENNIAL,FORB,23
559,STENARIA NIGRICANS,bfl.us,1,2.5,1.5,NA,0.2,NA,15.01261282,NA,NA,NA,NA,FORB,PERENNIAL,FORB,6
560,STENOTAPHRUM SECUNDATUM,chilcasdrt.ar,5,1,-4,NA,0.27432,NA,23,0.3048,NA,NA,0.1855714,GRASS,PERENNIAL,GRASS,16
561,STENOTAPHRUM SECUNDATUM,marcdrt.ar,2,1,-1,NA,0.27432,NA,23,0.3048,NA,NA,0.1855714,GRASS,PERENNIAL,GRASS,42
562,STIPA COMATA,biddulph.ca,14.5,10.5,-4,20.1,0.9144,15.9,16.95,0.4064,0.49068467,79.18825345,0.2,GRAMINOID,PERENNIAL,GRASS,7
563,STIPA COMATA,kinsella.ca,5.75,5.75,0,20.1,0.9144,15.9,16.95,0.4064,0.49068467,79.18825345,0.2,GRAMINOID,PERENNIAL,GRASS,37
564,STIPA PULCHRA,scruzh.us,8.2963652,0,-8.2963652,NA,NA,NA,21.2309966,NA,0.01859375,132.7,0.356625,FORB,PERENNIAL,GRASS,55
565,STIPA SPARTEA,cedarsav.us,0,4.5,4.5,14.01546154,0.576,18,8.74965934,0.254,0.393143677,61.25734351,0.2496,GRASS,PERENNIAL,GRASS,11
566,STIPA SPECIOSA,paike.ar,27,27,0,12.13,0.169,7.94,15.44,0.352,NA,22.41,0.352,GRASS,PERENNIAL,GRASS,50
567,SYMPHORICARPOS ALBUS,cowidrt.ca,7.8,10,2.2,14.05,1.538133333,NA,19.90333333,0.4572,NA,39.363636,NA,SHRUB,PERENNIAL,WOODY,19
568,SYMPHYOTRICHUM ERICOIDES,kernb.ca,2,2,0,12.6,0.7802222,11.01821,20.14194711,0.76,0.151923077,73.83666667,0.3263,FORB,PERENNIAL,FORB,35
569,SYMPHYOTRICHUM ERICOIDES,oklah.us,11,11,0,12.6,0.7802222,11.01821,20.14194711,0.76,0.151923077,73.83666667,0.3263,FORB,PERENNIAL,FORB,47
570,SYMPHYOTRICHUM ERICOIDES,brookdale.ca,1.25,1,-0.25,12.6,0.7802222,11.01821,20.14194711,0.76,0.151923077,73.83666667,0.3263,FORB,PERENNIAL,FORB,8
571,SYMPHYOTRICHUM ERICOIDES,matador.ca,1,1,0,12.6,0.7802222,11.01821,20.14194711,0.76,0.151923077,73.83666667,0.3263,FORB,PERENNIAL,FORB,43
572,SYMPHYOTRICHUM ERICOIDES,mattheis.ca,0,3,3,12.6,0.7802222,11.01821,20.14194711,0.76,0.151923077,73.83666667,0.3263,FORB,PERENNIAL,FORB,44
573,SYMPHYOTRICHUM ERICOIDES,konzadrt.us,35,6,-29,12.6,0.7802222,11.01821,20.14194711,0.76,0.151923077,73.83666667,0.3263,FORB,PERENNIAL,FORB,38
574,SYMPHYOTRICHUM ERICOIDES,hard.us,9.333333333,9.666666667,0.333333334,12.6,0.7802222,11.01821,20.14194711,0.76,0.151923077,73.83666667,0.3263,FORB,PERENNIAL,FORB,30
575,SYMPHYOTRICHUM ERICOIDES,esw.ca,0,1,1,12.6,0.7802222,11.01821,20.14194711,0.76,0.151923077,73.83666667,0.3263,FORB,PERENNIAL,FORB,24
576,SYMPHYOTRICHUM FALCATUM,kinsella.ca,13.33333333,13.33333333,3.33E-09,22.282,0.4175,8.69,14.18715,NA,0.117472,79.08403333,0.31118,FORB,PERENNIAL,FORB,37
577,SYMPHYOTRICHUM LAEVE,brookdale.ca,2.666666667,2.5,-0.166666667,11.6,0.976666667,9.78,14.28815235,NA,0.253411079,69.91354785,0.323475,FORB,PERENNIAL,FORB,8
578,SYMPHYOTRICHUM LANCEOLATUM,esw.ca,1,2,1,25.1,1.8288,NA,12.754,0.2032,0.15,68,0.36,FORB,PERENNIAL,FORB,24
579,SYMPHYOTRICHUM NOVAE-ANGLIAE,esw.ca,1,8.5,7.5,12.17017,1.022302632,NA,23.88988777,NA,0.12,52,0.46,FORB,PERENNIAL,FORB,24
580,SYMPHYOTRICHUM OBLONGIFOLIUM,konzadrt.us,0,8.666666667,8.666666667,NA,NA,NA,10.48,0.73,0.324153605,44.79630213,0.314933333,FORB,PERENNIAL,FORB,38
581,SYMPHYOTRICHUM OOLENTANGIENSE,cedarsav.us,0,1.5,1.5,16.02907407,0.7209,19.81443763,14.68950044,NA,0.12,81.16666667,0.35,FORB,PERENNIAL,FORB,11
583,TARAXACUM CAMPYLODES,jenadrt.de,11.33333333,6,-5.33333333,28.3472693,0.044,10.73618,30.05916441,0.1524,0.2871857,213.1,0.292,FORB,PERENNIAL,FORB,33
584,TARAXACUM CAMPYLODES,validate.fr,0.925,6,5.075,28.3472693,0.044,10.73618,30.05916441,0.1524,0.2871857,213.1,0.292,FORB,PERENNIAL,FORB,61
585,TEUCRIUM CAPITATUM,ebro.es,0.152425778,0.062395667,-0.090030111,20.04659333,0.085,NA,13.33,0.2,NA,NA,NA,SUBSHRUB,PERENNIAL,WOODY,22
586,TEUCRIUM CHAMAEDRYS,allmendb.ch,5.75,5.125,-0.625,16,0.190683889,19.69,14.12995424,1.62,0.187321285,149.5449877,0.264622222,SHRUB,PERENNIAL,WOODY,1
587,TEUCRIUM CHAMAEDRYS,allmendo.ch,2.583333333,3.666666667,1.083333334,16,0.190683889,19.69,14.12995424,1.62,0.187321285,149.5449877,0.264622222,SHRUB,PERENNIAL,WOODY,2
588,THALICTRUM VENULOSUM,brookdale.ca,1.75,1.166666667,-0.583333333,NA,0.1059,NA,19.84,NA,NA,NA,NA,FORB,PERENNIAL,FORB,8
591,THEMEDA TRIANDRA,ukulingadrt.za,15,17,2,13.22821429,1.5,4.35,9.2635,NA,NA,NA,0.2625,GRASS,PERENNIAL,GRASS,60
594,THYMUS SERPYLLUM,allmendb.ch,1.666666667,1.75,0.083333333,19.815,0.08775,NA,12.59845839,0.250506667,0.7,11.2,NA,FORB,PERENNIAL,WOODY,1
595,THYMUS SERPYLLUM,allmendo.ch,1.833333333,1.666666667,-0.166666666,19.815,0.08775,NA,12.59845839,0.250506667,0.7,11.2,NA,FORB,PERENNIAL,WOODY,2
596,THYMUS VULGARIS,ebro.es,2.008951389,1.495168889,-0.5137825,15.125,0.08,NA,10.34931507,0.3318,NA,NA,NA,SUBSHRUB,PERENNIAL,WOODY,22
597,THYMUS VULGARIS,ciempoz.es,7.914166667,6.446666667,-1.4675,15.125,0.08,NA,10.34931507,0.3318,NA,NA,NA,SUBSHRUB,PERENNIAL,WOODY,17
600,TRAGOPOGON PRATENSIS,baddrt.de,0,0.3,0.3,27,0.575,20.30344663,22.41578318,NA,0.170824899,150.3177187,0.287861111,FORB,PERENNIAL,FORB,5
605,TRIFOLIUM MACROCEPHALUM,oreaa.us,3.5,1,-2.5,NA,0.6096,NA,6.89,0.1524,NA,NA,1.85,FORB,PERENNIAL,LEGUME,48
606,TRIFOLIUM MACROCEPHALUM,oreac.us,0.5,3.5,3,NA,0.6096,NA,6.89,0.1524,NA,NA,1.85,FORB,PERENNIAL,LEGUME,49
607,TRIFOLIUM MONTANUM,allmendo.ch,0.5,0.25,-0.25,34.121,0.306666667,NA,18.67023642,0.825,0.113646105,238.0656783,0.246975,FORB,PERENNIAL,LEGUME,2
608,TRIFOLIUM MONTANUM,allmendb.ch,0.25,0.75,0.5,34.121,0.306666667,NA,18.67023642,0.825,0.113646105,238.0656783,0.246975,FORB,PERENNIAL,LEGUME,1
609,TRIFOLIUM PRATENSE,esw.ca,12.33333333,30,17.66666667,40.4444317,0.389308642,21.07704,27.55091965,0.3048,0.16269724,184.5175823,0.256183381,FORB,PERENNIAL,LEGUME,24
610,TRIFOLIUM PRATENSE,pineta.es,2.375,0,-2.375,40.4444317,0.389308642,21.07704,27.55091965,0.3048,0.16269724,184.5175823,0.256183381,FORB,PERENNIAL,LEGUME,52
611,TRIFOLIUM REPENS,elvadrt.ee,2,1,-1,43.78354086,0.236251111,21.66035,26.94650771,0.3048,0.123144013,192.8045087,0.263218929,FORB,PERENNIAL,LEGUME,23
612,TRIFOLIUM REPENS,pineta.es,3,1.125,-1.875,43.78354086,0.236251111,21.66035,26.94650771,0.3048,0.123144013,192.8045087,0.263218929,FORB,PERENNIAL,LEGUME,52
613,TRIODIA BASEDOWII,ethadn.au,49.33333333,72,22.66666667,6.4,1.3,NA,2.93,NA,NA,NA,NA,GRASS,PERENNIAL,GRASS,26
614,TRIODIA BASEDOWII,ethadb.au,31.5,36,4.5,6.4,1.3,NA,2.93,NA,NA,NA,NA,GRASS,PERENNIAL,GRASS,25
615,TRISETUM FLAVESCENS,validate.fr,8.3,6.75,-1.55,27.09907954,0.532263158,8.795034255,22.11711414,0.44,0.166445278,447.4973772,0.175392308,GRASS,PERENNIAL,GRASS,61
616,TRISETUM SPICATUM,falls.au,1,0.5,-0.5,NA,0.32706,NA,21.1,0.3048,NA,NA,0.24,GRASS,PERENNIAL,GRASS,27
617,ULEX PARVIFLORUS,ayora.es,26.66666667,29.66666667,2.999999997,14.1,1.315,NA,4.82,1.5,0.71673186,9.189147922,0.373179167,SHRUB,PERENNIAL,LEGUME,4
629,VERONICA CHAMAEDRYS,elvadrt.ee,1.5,1.333333333,-0.166666667,25.804,0.234,10.00287923,28.10742313,0.34,0.114461321,349.9700698,0.149373333,FORB,PERENNIAL,FORB,23
630,VERONICA CHAMAEDRYS,rhijn.nl,4,0,-4,25.804,0.234,10.00287923,28.10742313,0.34,0.114461321,349.9700698,0.149373333,FORB,PERENNIAL,FORB,53
631,VERONICA CHAMAEDRYS,pineta.es,0,0.5,0.5,25.804,0.234,10.00287923,28.10742313,0.34,0.114461321,349.9700698,0.149373333,FORB,PERENNIAL,FORB,52
632,VICIA AMERICANA,brookdale.ca,1,1,0,42.658,0.2765,21.77,21.29655909,0.254,0.096375062,29.37063333,0.363178334,VINE,PERENNIAL,LEGUME,8
633,VICIA AMERICANA,kinsella.ca,5.6,5.6,0,42.658,0.2765,21.77,21.29655909,0.254,0.096375062,29.37063333,0.363178334,VINE,PERENNIAL,LEGUME,37
634,VICIA AMERICANA,kernnu.ca,1,0.833333333,-0.166666667,42.658,0.2765,21.77,21.29655909,0.254,0.096375062,29.37063333,0.363178334,VINE,PERENNIAL,LEGUME,36
635,VICIA AMERICANA,kernb.ca,1,0.5,-0.5,42.658,0.2765,21.77,21.29655909,0.254,0.096375062,29.37063333,0.363178334,VINE,PERENNIAL,LEGUME,35
636,VICIA AMERICANA,matador.ca,0.5,0.5,0,42.658,0.2765,21.77,21.29655909,0.254,0.096375062,29.37063333,0.363178334,VINE,PERENNIAL,LEGUME,43
637,VICIA CRACCA,elvadrt.ee,1.333333333,1.5,0.166666667,41.79727454,0.879038889,24.42381,26.81365133,0.3048,0.195683333,41.43187551,0.463024976,LEGUME,PERENNIAL,LEGUME,23
641,VICIA SEPIUM,elvadrt.ee,1.666666667,1.333333333,-0.333333334,46.0056,0.683333333,27.307,38.73428571,0.52,0.077475,406.25,0.83175,FORB,PERENNIAL,LEGUME,23
642,VIOLA BETONICIFOLIA,falls.au,0.5,0.5,0,NA,0.2,NA,17.081108,NA,NA,NA,NA,FORB,PERENNIAL,FORB,27
643,VITIS VULPINA,esw.ca,7,6,-1,NA,NA,NA,8.20827,0.4064,NA,NA,NA,VINE,PERENNIAL,WOODY,24
648,ZIZIA APTERA,brookdale.ca,1,1.166666667,0.166666667,16.074,NA,NA,40.37573969,NA,NA,NA,NA,FORB,PERENNIAL,FORB,8
96,BRIZA MEDIA,elvadrt.ee,25,30,5,19.10016667,0.41946,2.042559524,20.92775774,0.52,0.179667951,288.6987236,0.171363333,GRASS,PERENNIAL,GRASS,23
97,BRIZA MEDIA,allmendo.ch,2.416666667,2.416666667,-3.33E-10,19.10016667,0.41946,2.042559524,20.92775774,0.52,0.179667951,288.6987236,0.171363333,GRASS,PERENNIAL,GRASS,2
98,BRIZA MEDIA,allmendb.ch,2.5,2.5,0,19.10016667,0.41946,2.042559524,20.92775774,0.52,0.179667951,288.6987236,0.171363333,GRASS,PERENNIAL,GRASS,1
386,LOLIUM PERENNE,validate.fr,7.02,10,2.98,19.23,0.429,9.7,18.31,0.254,0.104845371,220.8471095,0.1,GRASS,PERENNIAL,GRASS,61
387,LOLIUM PERENNE,jenadrt.de,47.33333333,39.66666667,-7.666666663,19.23,0.429,9.7,18.31,0.254,0.104845371,220.8471095,0.1,GRASS,PERENNIAL,GRASS,33
388,LOLIUM PERENNE,baddrt.de,0.05,0.4,0.35,19.23,0.429,9.7,18.31,0.254,0.104845371,220.8471095,0.1,GRASS,PERENNIAL,GRASS,5
413,OXALIS CONORRHIZA,naposta.ar,1,1,0,NA,0.1176,NA,42.67,NA,NA,NA,NA,FORB,PERENNIAL,FORB,45