,leafN,height,rootN,SLA,root_depth,RTD,SRL,root_diam
Acaena_echinata,22.74341383,0.17865,13.17351071,13.19,0.636713557,0.349698681,161.9729457,0.517565276
Acaena_pinnatifida,23.12332975,0.025,13.05936822,9.38,0.663158923,0.378622062,156.253229,0.491929295
Achillea_millefolium,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778
Agastache_foeniculum,14.7,0.117557613,10.02865451,15.29,0.124,0.18,56.33396667,0.42
Agrimonia_eupatoria,14.78,0.087,14.78,13.66,1.55,0.1143,256.5123846,0.497525475
Agrostis_canina,20.86288625,0.4223,9.3,33.1583154,0.254,0.100489808,198.0882488,0.15
Agrostis_capillaris,27.65006595,0.393022873,8.907142857,29.44748071,0.3048,0.230872486,141.2639378,0.128571429
Agrostis_montevidensis,21.13881933,0.229358974,8.373856221,12,0.373474257,0.318088373,166.7639741,0.121223477
Agrostis_rupestris,17,0.035,8.497540706,15.5,0.41135993,0.282451859,187.9538421,0.121651842
Agrostis_scabra,8.00326776,0.274,12.3048825,9.409573332,0.3048,0.2,109,0.21
Agrostis_stolonifera,31.5111841,0.414942857,6.2,31.65060428,0.3048,0.212659866,353.7043306,0.1
Aira_caryophyllea,19.9,0.155,8.843084453,21.08,0.181536575,0.207004398,224.2166835,0.21
Aira_elegantissima,19.86963359,0.45,9.059887926,25.838354,0.066,0.172497212,234.0845178,0.228
Alchemilla_pentaphyllea,37,-0.045242284,12.45427063,21,0.467155761,0.322232544,124.474535,0.553869747
Allionia_incarnata,23.79473104,0.4,9.368672762,21.88917424,0.4,0.333244632,10.31,0.665
Allium_acuminatum,23.66432391,0.3048,10.42533081,8.45,0.1524,0.364284504,-121.5964055,1.64
Alopecurus_pratensis,23.8325776,0.806266667,9.698958476,27.30021588,0.3048,0.069943613,230.6921222,0.305414955
Alyssum_desertorum,31.47332265,0.1,13.3203141,27.17578947,1.121515675,0.520679488,44.5774581,0.377279161
Ambrosia_artemisiifolia,23.1,0.226,15.077975,21.45333609,1.22,0.08,135,0.36
Ambrosia_psilostachya,23.246,0.4385,12.9,15.82842,0.99,0.37,72.86943333,0.44
Ambrosia_tenuifolia,18.2,4.572,18.87281285,9.366271504,0.6096,0.363287337,178.9047728,0.762624192
Amorpha_canescens,22.25861206,0.446,27.18327333,13.80561828,0.508,0.59,45.95532256,0.19
Anagallis_arvensis,25,0.187,12.15309586,28.34396552,0.315,0.203073729,93.81085379,0.439038433
Andropogon_gerardii,11.43191184,1.43,14.4,7.475763032,0.508,0.2,65.1,0.7
Andropogon_virginicus,13.3,0.763593333,9.715897322,11.86738259,0.3556,0.294763114,44.58555987,0.416054483
Androsace_septentrionalis,19.4925,0.011,12.29704857,30.84123333,0.1,0.183558573,79.99696667,0.475864035
Anthoxanthum_odoratum,23.59023243,0.383753535,8.005555556,24.91123988,0.155,0.107066623,344.3025853,0.111111111
Anthyllis_vulneraria,32.33118574,0.2845,19.6042,18.21819656,1.7,0.22014466,149.3012403,0.25
Apera_spica-venti,22.44308186,0.775,8.744455455,19.13333333,0.66,0.183564622,193.8,0.300132339
Arenaria_serpyllifolia,12,0.075,13.275,23.7,0.21,0.067,277.6260987,0.207422972
Argyrolobium_zanonii,22.77,0.1,16.12450158,13,0.72,0.541050721,-9.21104815,0.306616845
Aristida_holathera,8.4875,0.7,2.975,5.62,0.703009912,0.745,44.86124996,0.375
Aristida_junciformis,9.7441916,0.473295859,6.107893951,8.6,0.891348767,0.453943142,58.53052607,0.592460859
Aristida_purpurea,9.88,0.0735,6.53,6.520633333,1.315133333,0.3626,50.55346667,0.71
Aristida_stricta,11.1128167,1.18872,6.318642134,6.79,0.1524,0.536990085,57.28887629,0.573693542
Armeria_maritima,17,0.308106667,9.3,21.1502,0.254,0.2612175,57.875,0.221876923
Arrhenatherum_elatius,25.84,0.857,8.902914385,29.67,0.3556,0.119407807,190.1954961,0.304707692
Artemisia_campestris,18.886,0.353,9.064339995,18.71203,1.22,0.366498,52.76693333,0.46
Artemisia_ludoviciana,19.24454545,0.597,11.63,16.4954108,0.2032,0.222016659,76.92231348,0.31821746
Asclepias_viridis,26.58908484,0.456,10.48924134,10.46681531,0.9351367,0.320746666,41.57111916,0.36446
Asperula_cynanchica,26.78563146,0.284375,4.540442599,27.91666667,0.93,0.3908625,22.875,0.16639
Asperula_gunnii,23.36581912,0.432,8.643246404,21.796842,0.570946719,0.353973018,157.6465274,0.169025203
Astragalus_nuttallianus,38.28432063,0.185118405,19.73670371,20.29476228,0.13,0.245409475,9.530497,0.2
Astrantia_major,28.539,0.4215,10.15016148,22.75909384,1.102055464,0.24350627,154.1435862,0.500938893
Astrebla_lappacea,16.2306281,0.65,10.57238756,11.43619445,0.294261224,0.487353953,48.02869853,0.25146667
Astrebla_pectinata,16.01841132,0.63,10.58097487,11.341433,0.300165986,0.486860653,52.4590653,0.229652918
Avena_barbata,17,0.389,8.408464445,25.674375,0.5,0.02363125,149,0.373688235
Baptisia_bracteata,35.8,0.225616867,16.9166706,12.09,2.032,0.459982294,-20.93418002,0.28143411
Bassia_scoparia,32.45,1.184444444,9.39334462,19.65690846,0.573370828,0.384575183,97.31383001,0.249537131
Bellis_perennis,17.81,0.165,8.4,34.15,0.18,0.130088142,324.9590331,0.243322583
Blennospora_drummondii,25.9005718,0.06807094,23.970935,18.695174,0.753190743,0.081468985,225.8374294,0.260210048
Boerhavia_diffusa,22.5528536,0.55,8.971301891,20.76,1.2,0.347315764,14.29,0.630988319
Bothriochloa_laguroides,13.51123279,0.993039909,6.652572306,26,0.254858361,0.225215068,42.6832417,0.37501601
Bouteloua_aristidoides,15.9,0.04,11.24538881,12.89,0.3,0.350158988,103.65,0.067251419
Bouteloua_curtipendula,8.7,0.427,8.84,14.60867,0.3048,0.19,94.40056667,0.032
Bouteloua_gracilis,15.416,0.345,14.76,12.868115,0.135,0.447182567,118.8815333,0.192729167
Brachypodium_distachyon,27.125,0.1005,5.111622677,30.85889908,0.5,0.156995021,57.70141681,0.460505074
Brachypodium_pinnatum,18.10766667,0.540866667,7.10106212,23.9927357,0.1,0.186379697,207.6695041,0.22129993
Brachypodium_retusum,7.1,0.4,4.578925223,16.24363109,0.2586667,0.304852694,25.86916574,0.85
Briza_media,19.10016667,0.41946,2.042559524,20.92775774,0.52,0.179667951,288.6987236,0.171363333
Bromus_catharticus,24.92311687,0.9572,4.9,35,0.3048,0.079079135,129.3385704,0.30525
Bromus_diandrus,19.4,0.99,10.24261237,39,0.664721084,0.142148117,238.8,0.414834417
Bromus_erectus,18.81892435,0.717333333,7.243150315,21.09580137,0.894,0.174709631,157.1212818,0.273789089
Bromus_hordeaceus,25.57289667,0.6899,10.2,27.25455017,0.254,0.137083333,471.2364007,0.2
Bromus_inermis,21.49936399,0.81,17.20145333,17.7899321,0.3048,0.268601793,108.7724975,0.281416667
Bromus_japonicus,20.898,0.424044444,9.067927037,19.31803729,1.5,0.309868736,156.4992401,0.54
Bromus_rubens,28.7686987,0.39624,8.986278183,18.713372,0.2032,0.310983708,149.5844876,0.308356516
Bromus_setifolius,24.74366972,0.102,8.881494263,20.31,0.787979172,0.28863468,171.047121,0.284437022
Bromus_sterilis,27.9,0.658333333,9.050166032,30.5349098,1.5,0.4459545,279.231,0.264288633
Bromus_tectorum,18.768,0.198681818,7.006735802,17.28496,0.90288,0.47,31.204325,0.57
Calamagrostis_epigeios,17.43326,1.396,6.6,18.65,0.227732862,0.319282674,57.46375,0.358255215
Calamovilfa_longifolia,13.59,0.968,5.2246,10.96892152,0.508,0.18,33,0.48
Calotis_lappulacea,20.89976142,0.5,11.10717304,15.76,0.516899137,0.207766211,128.8279049,0.287551535
Calylophus_serrulatus,27.14258247,0.370017392,11.95337047,11.69,1.33,0.419435767,109.2762943,0.332447572
Camassia_quamash,27.42842508,0.70104,10.68807051,12.08,0.254,0.316040808,-1.022721567,0.932310815
Campanula_patula,24.70498914,0.4375,14.26593954,33.98333333,0.29,0.0375,422.5410187,0.265133333
Campanula_rotundifolia,21.08333333,0.452,13.14618087,22.94812699,1.125,0.146551312,475.6578007,0.141566667
Carduus_pycnocephalus,8.2,0.8,15.95131794,38,1.818370447,0.057208068,239.9117417,0.514014229
Carex_arenaria,19.12604168,0.384259259,4.813983052,14.42164292,1.02,0.213901275,101.9846611,0.298247492
Carex_breviculmis,18.30157885,0.05,4.790760561,14.60009466,0.643749302,0.201694535,98.749896,0.292060534
Carex_brevior,19.66905045,0.254,4.80375618,21.15675902,0.593645298,0.151679871,97.15404162,0.327804179
Carex_caryophyllea,18,0.223333333,4.995399659,18.76023077,0.2,0.175947244,142.613172,0.0784
Carex_curvula,12,0.437778071,5.532956422,9.999104145,0.65,0.245440334,134.7268838,0.32064211
Carex_distachya,18.75799477,0.1756,4.832835102,4.8,0.91,0.286560515,94.65180485,0.267297413
Carex_echinata,17.8,0.33305,5.111255298,15.53,0.2032,0.20381412,104.2041272,0.31437154
Carex_flacca,17.07498081,0.37125,4.956666667,14.4018786,0.83,0.169025277,218.7926062,0.380313725
Carex_hebes,19.32875382,0.314786381,4.883966427,19.096154,0.593961778,0.170092912,98.71614231,0.327235699
Carex_meadii,19.39507676,0.2292,4.874818173,12.74334258,0.56,0.221718376,93.92961517,0.301242457
Carex_miyabei,19.77571,0.621,5.071131077,19.71,0.553139198,0.17166311,100.405315,0.354921991
Carex_nigra,24.40009307,0.388666667,6.648625922,20.83559904,0.78,0.2198095,52.8,0.2421
Carex_panicea,16.1715862,0.31,2.228209396,17.69830765,0.49,0.222453407,9.14,0.367776576
Carex_pilulifera,27.98325592,0.225625,4.221143119,19.13235729,0.553959305,0.172355678,51.83732018,0.306159214
Celmisia_costiniana,20.91047528,0.515,11.51438714,9.655537,0.544193829,0.258657721,129.5204575,0.277497004
Cenchrus_ciliaris,18.5,0.9144,6.5,14.69,0.508,0.289701402,12.55615736,0.236512789
Centaurea_jacea,25.06160617,0.8275,11.34202,21.9478316,0.155,0.133545753,116.6184597,0.328737037
Centaurea_melitensis,23.46839325,1,13.19014872,9.4,0.3,0.255779309,145.36,0.333202668
Centaurea_scabiosa,22.3,0.9625,11.09976411,16.2315625,2.708833,0.182590287,146.4648418,0.286172254
Centipeda_cunninghamii,24.22912697,0.2,16.47638289,18.1,0.768534665,0.145497587,114.266703,0.330287525
Centrolepis_aristata,19.7,0.09857143,7.445522347,28.092362,0.314962096,0.200353628,54.41782925,0.429692843
Centrolepis_strigosa,17.93202113,0.11,7.713987778,5.632,0.384791485,0.388245874,53.17390492,0.36414823
Cephalipterum_drummondii,25.89358617,0.33086325,24.04756243,37.282501,0.671493839,-0.069007348,237.9906869,0.34029188
Cerastium_arvense,24.36700677,0.188888889,6.130655925,21.10181624,0.22,0.486326636,91.58154988,0.188766667
Cerastium_fontanum,24.9755,0.218333333,8.721238939,25.83139407,0.193150305,0.133299797,101.6244572,0.282
Cerastium_glomeratum,17.025,0.249,14.7,23.38503171,0.11,0.4988333,318,0.157464537
Chamaecrista_fasciculata,39.6,0.73152,20.23198168,20.88,0.3556,0.162591084,96.91819095,0.2980125
Chenopodium_album,27.125,1.174877193,10.87,22.66936863,1.19,0.372010894,215.0556376,0.230308403
Chlorogalum_pomeridianum,28.9,0.60286681,10.51116258,12.962,0.250380941,0.307317495,-9.619251668,0.924327217
Chondrosum_eriopodum,14.8969364,0.508735283,9.087317693,18.54844313,0.463154361,0.271708636,193.2171249,0.03
Chondrosum_gracile,15.9806955,0.48836992,9.009834195,15.34680195,0.465990498,0.2994391,182.2446477,0.036
Chrysocephalum_apiculatum,27.1,0.4,24.14112724,16.64122201,0.712133803,0.106368887,222.5844788,0.280719535
Cirsium_arvense,29.75611991,0.84284049,15.2,16.60803212,1.853333,0.272498089,64,0.71
Cirsium_vulgare,38.6,1.175,15.11324196,14.23064781,2.1,0.285613682,131.2433191,0.184
Claytonia_perfoliata,24.6,0.222866667,10.49947624,52.4560081,0.1524,0.04795616,117.9293372,0.466033481
Collinsia_parviflora,24.9666689,0.3048,14.4920836,32.3,0.449812959,0.186900323,211.7691975,0.28
Comandra_umbellata,21.0594,0.248223914,9.387071458,18.08533756,0.681927847,0.334821433,31.36179282,0.321385714
Commelina_cyanea,30.634,0.1,9.421189506,34.85,0.372127358,0.12642,142.3912932,0.05284
Convolvulus_arvensis,27.77,0.048,12.29,17.215475,2.24,0.5298167,31.40813333,0.370782563
Conyza_canadensis,27.9,0.836805556,12.78245899,21.34368455,0.1524,0.09,119,0.35
Coreopsis_palmata,12.06502778,0.614,18.5591,18.06209157,0.808334779,0.1,82.33333333,0.33
Coreopsis_tinctoria,14.704,0.1905,12.73,14.36677143,0.868414118,0.164041624,28.59345,0.286190844
Crepis_biennis,18.28,0.183,10.22761651,19.04,0.99,0.113427835,154.7062535,0.425214286
Crepis_capillaris,25.65,0.458333333,10.7,35.00023666,0.385,0.034609511,138,0.451631676
Crepis_tectorum,14.21254536,0.148,8.795385658,22.33002853,0.740882787,0.152152429,119,0.34
Croton_glandulosus,17.5,0.480638763,12.09587325,38.2464889,0.999154641,0.225597414,153.5549323,0.593277454
Croton_monanthogynus,17.5,0.42171446,12.17699152,18.1,1.060784681,0.393482819,143.1969975,0.526032116
Cruciata_glabra,17.002,0.194,10.75350322,21.52069774,0.14,0.306222369,242.5204112,0.163589059
Cymbopogon_caesius,13.857227,0.962214255,6.656233111,17.88,0.278522058,0.292909071,36.59052686,0.346762063
Cynodon_dactylon,16.887,0.235788519,8.517127051,16.61,0.3556,0.51,26.34,0.071
Cynosurus_cristatus,20.5,0.588,8.98,25.76472222,0.22,0.3312667,24.6,0.705
Cyperus_eragrostis,15.04906902,0.9,6.922459533,14.342367,0.340023487,0.208697891,129.5833873,0.496361766
Dactylis_glomerata,25.72069341,0.671309259,10.15714286,26.04843708,0.3048,0.138583824,304.2076965,0.142857143
Dactylorhiza_maculata,22.6,0.6,10.99253857,24.23285714,0.100367652,0.222222098,108.1171735,0.555663263
Dalea_purpurea,14.1,0.5272,13.9583,13.02080619,1.525,0.174143261,73.40507735,0.341785714
Danthonia_californica,21.1,0.6096,9.343848377,46.56,0.4064,0.094719179,103.8644685,0.413731082
Daucus_carota,23.75644602,0.487097662,12.75277167,17.37707021,0.8266667,0.329231092,244.5257138,0.314314803
Deschampsia_cespitosa,19.38145224,0.623466667,9.504294333,15.38069921,1.23,0.170736151,364.9892355,0.206048414
Deschampsia_flexuosa,21.14852266,0.40801415,6.90123,17.19285365,0.2032,0.386033,196.6766667,0.27
Descurainia_pinnata,29.63607689,0.414582567,13.7425113,15.6,1.124052998,0.622394011,52.77175327,0.371897109
Desmanthus_illinoensis,38.8,0.9144,18.46997856,9.88,0.988273483,0.3048,45.09036443,0.25
Desmodium_illinoense,14.28767,1.0968,28.94558883,11.96,0.602446559,0.26,137.7240104,0.2997
Dianthus_serotinus,15.97270425,0.207596573,11.68915508,8.61,0.4771872,0.396212595,208.4298252,0.19423854
Dichanthelium_oligosanthes,12.8,0.2083,4.73,23.2764706,0.423607253,0.261358967,7.466,0.36
Dichelachne_crinita,18.20358081,1.25,8.070002551,13.22276,0.321211532,0.300679154,180.8000697,0.51
Diheteropogon_amplectens,7.1951461,1.060848369,10.29651892,15.69,0.375188289,0.266642144,82.52177399,0.461112644
Diplotaxis_tenuifolia,31.29095327,0.575,14.02827681,22.45,1.170737015,0.566459823,53.58709687,0.399906876
Dorycnium_pentaphyllum,24.5,0.4,13.1305785,20.8,1.17,0.56,3.83,0.517886924
Draba_verna,20.4,0.42,10.86632488,22.11,1.318005405,0.78395,18.8462,0.52189
Echium_vulgare,23.6,0.716666667,12.28969466,14.45,2.57,0.362935325,149.2788485,0.385
Ehrharta_stipoides,25.541,0.670248521,2.040253744,21.72,0.3807231,0.72,39.27787662,0.043
Elymus_elymoides,13.572,0.4235,10.19,13.868725,0.3048,0.387230769,48.4183,0.62
Elymus_glaucus,20.02,1.00584,10.4,14.9305,0.3048,0.49,34.8825,0.325598981
Elymus_lanceolatus,25.371642,0.569022942,13.24984479,22.74526261,1.25,0.30820288,94.78007133,0.221186667
Elymus_repens,26.17661742,0.605442518,16.42030861,22.79877956,0.3556,0.220460629,91.89875611,0.258457785
Elymus_smithii,28.0185,0.6096,17.06975875,31.74700117,0.508,0.15784992,73.5,0.419548409
Elymus_trachycaulus,13.85333333,0.466,8.22,11.45053,1.07,0.391995964,62.476,0.433244237
Enneapogon_polyphyllus,10.55,0.325,3.7,7.035333333,0.350050558,0.44,-40.90833839,0.6
Epilobium_angustifolium,26.69696541,1.0483,15.43931368,19.77553761,0.627,0.328382619,261.095,0.335656736
Epilobium_brachycarpum,30.48666667,0.286,10.95816314,21.56584,0.689424156,0.343062758,81.71053333,0.363723603
Epilobium_tetragonum,28.01877313,0.720833333,13.22258086,15.9,0.674655441,0.377923218,167.5179887,0.344057504
Epipactis_palustris,24.91187714,0.4375,10.69394443,22.62,0.213589112,0.233384533,93.69976675,0.531156695
Equisetum_arvense,20.06733732,0.344317143,10.65761826,13.18450744,0.2262,0.252201208,93.69557629,0.256341479
Eragrostis_curvula,15.862,0.9144,5.6,10.92,0.3556,0.674737064,31.5618682,0.071
Eragrostis_dielsii,13.28961889,0.3,7.488341076,5.7,0.336778043,0.568575945,33.34953239,0.201253999
Eragrostis_setifolia,11.63,0.38,7.577858373,7.946703097,0.328111057,0.55512146,44.21079315,0.211243797
Eragrostis_spectabilis,10.935,0.23375,7.477397743,24.79827372,0.1016,0.410430209,53.00217991,0.255343303
Eriachne_aristidea,8.1,0.4625,4.5,38.9,0.411736152,0.33,-6.116520824,0.9
Erigeron_annuus,13.87251282,0.790891667,7.539363428,23.37334387,1.02,0.32875817,62.7520477,0.25
Erigeron_bonariensis,20.2,0.46625,11.70671258,17.6205,0.850727356,0.162494861,126.8641723,0.30477812
Erigeron_canadensis,27.5,0.676,12.38888882,21.20435157,1.09,0.09,119,0.35
Erigeron_strigosus,12.3765,0.566,8.469484874,24.97386549,0.254,0.276854627,81.10196985,0.268597214
Eriophorum_angustifolium,20.00955403,0.392104,5.5,13.32708698,0.2895,0.18,37.5,0.7875
Eriophorum_vaginatum,18.34176544,0.441666667,7.2,10.24422818,0.4,0.0933333,148.81,0.756666667
Erodium_cicutarium,34.47666667,0.0275,11.48,28.8428,0.5,0.43626943,71.7331,0.1243
Eschscholzia_californica,46.6,0.405253333,23.41729515,27.92808564,0.254,0.015053333,527.2,0.24385
Euphorbia_cyparissias,29,0.2375,8.96,23.6,0.89,0.411,6.4,0.699
Euphorbia_dentata,28.21410283,0.065664961,10.31807667,30,1.24287156,0.28,125.5239574,0.21
Euphorbia_drummondii,26.56800998,0.1276,10.21088136,12.13032804,1.267232191,0.460193082,75.53373066,0.422831221
Euphorbia_seguieriana,25.19076085,0.425,10.34886708,18.4,1.6675,0.412624592,91.99827317,0.461945232
Euphrasia_minima,26.868,0.108,17.60529436,17.10079827,0.31131359,0.251596094,168.0429977,0.51619772
Euthamia_graminifolia,19.4891582,0.798,12.53097139,12.04198841,0.385502485,0.215502614,87.47550854,0.330419837
Evolvulus_sericeus,28.08432778,0.165186473,11.81355564,13.12723643,1.685926078,0.462205712,64.33111186,0.340536885
Falcaria_vulgaris,13.18490728,1.2613,13.3150713,13.0375,1.8,0.147,216.667,1.15043
Festuca_arundinacea,26.75,0.922297147,9.306666667,16.0977261,1.415,0.208261132,167.503371,0.383552278
Festuca_halleri,13,0.784974578,9.30581557,9.9,0.101,0.263301898,264.0577145,0.31
Festuca_idahoensis,10.3118547,0.6096,9.105597628,42.75,0.3556,-0.021120172,308.6742312,0.310248556
Festuca_ovina,16.78631631,0.414347827,7.790299962,16.83674211,0.254,0.18,180.6632143,0.02
Festuca_pratensis,22.6929621,0.4,9.037334647,21.47,0.233,0.091553497,289.7039134,0.217565197
Festuca_rubra,19.05492673,0.452958333,7.08,20.02617821,0.3048,0.233235525,348.147287,0.12
Festuca_vaginata,16.61966102,1,9.090215856,17.18213058,0.405944472,0.204979106,268.2266996,0.254151712
Festuca_vivipara,12.30541517,0.065,8.764885859,11.02,0.506347461,0.234725977,276.3262647,0.161945853
Fragaria_vesca,16.48863464,0.136111111,13.26090147,24.4032544,0.267,0.351086957,312.2441806,0.1112
Fragaria_viridis,28.3614838,0.104166667,17.48133814,17.04997,0.32,0.2599583,215,1.136
Fumana_procumbens,16,0.15,14.00350325,8.22,0.28,0.434084468,123.5645766,0.403090574
Galactia_marginalis,25.38408442,0.177117117,23.30917017,6.500004464,0.851133779,0.353864552,71.79050006,0.276416352
Galium_aparine,30.3875,0.765787211,17.66740825,34.58771111,0.1016,0.246153846,342.4265529,0.153183334
Galium_boreale,18.80683333,0.37,10,22.71017578,0.1524,0.315984509,172.8382766,0.1779
Galium_lucidum,26,0.375,12.01609937,40.8,0.67,-0.029571156,401.8107354,0.237517884
Galium_mollugo,29.6653889,0.57825,12.06782427,21.5515698,0.1688729,0.105319476,406.1581499,0.264461111
Galium_saxatile,25.1,0.175,13.3735465,25.08983957,0.422365074,0.197762796,345.751649,0.139093799
Galium_verum,21.6094737,0.516038889,11.75956766,17.72121934,0.7266667,0.140178711,402.3842917,0.122981034
Gaura_coccinea,30.66901281,0.363321591,9.79745088,14.93401246,0.47,0.418841384,7.307967,0.345
Genista_scorpius,16.71663301,1.5,16.8964922,9.527159544,0.84,0.625566057,25.205126,0.418236909
Geranium_dissectum,19.13,0.151,14.74744404,17.86,0.5,0.382010582,207.6012196,0.122766667
Geranium_molle,26.45,0.296666667,17.0659065,23.20870159,0.53,0.329104478,289.9024475,0.112466667
Geranium_pusillum,17.47,0.2,13.05894645,26.42,0.59,0.417391304,192.0238007,0.1212
Geranium_thunbergii,20.22039,0.709,15.6262092,27.52,0.469054298,0.332742417,249.0704988,0.186435171
Geum_canadense,23.23859009,0.77936,13.76332073,20.2434208,0.1016,0.335631925,175.8861837,0.616387702
Glechoma_hederacea,13.09,0.1,15.84806833,21.32,0.14,0.104315255,419.5272801,0.213838095
Globularia_vulgaris,24.12484223,0.2,14.64762965,6.892,0.47,0.41668363,184.8334661,0.354224845
Gnaphalium_supinum,22.46381487,0.363624058,28.1,27.00300375,0.711612022,-0.012072045,307.39,0.29
Gouinia_paraguayensis,23.1,0.47,10.41792691,19.71,0.256739475,0.392998451,38.36477163,0.178363037
Gutierrezia_sarothrae,18.68,0.23,12.4,9.393567894,0.4064,0.225,82.1343,0.2661
Gymnadenia_conopsea,28.85621237,0.45,10.48509607,19.92759166,0.07,0.258435176,70.97427546,0.52009167
Gypsophila_repens,12.7,0.14,11.82290125,15.67666667,0.485218747,0.333767138,228.298607,0.215286254
Helianthus_annuus,18,2.847733333,27.3,18.91505647,0.2032,0.086907021,191.3969043,0.945853228
Helianthus_pauciflorus,28.32227396,0.39,20.52030623,9.153001144,1.27,0.19,52,0.36
Helictotrichon_pratense,16.4,0.816666667,3.275458192,14.06030769,0.79,0.669747899,85.98480816,0.1543
Helictotrichon_pubescens,24.3,0.680625,7.892636683,18.69463141,0.3,0.090296815,62.86954053,0.161264502
Helictotrichon_versicolor,18.88884001,0.14,6.081157261,11.48996431,0.620057888,0.392497008,77.65999999,0.115650341
