"","Taxon","X.x","site_code","mean.ctrl.cover","mean.drt.cover","mean.cover.response","X.y","leafN.mg.g","height.m","rootN.mg.g","SLA_m2.kg","root.depth_m","RTD.g.cm3","SRL_m.g","rootDiam.mm","local_lifeform","local_lifespan","functional_group"
"21","AIRA ELEGANTISSIMA",3352,"jilpanger.au",0.625,0.5,-0.125,32,NA,0.45,NA,25.838354,0.066,NA,NA,0.228,"GRASS","ANNUAL","GRASS"
"46","APERA SPICA-VENTI",434,"baddrt.de",4.7625,9.366666667,4.604166667,59,NA,0.775,NA,19.13333333,0.66,NA,193.8,NA,"GRASS","ANNUAL","GRASS"
"50","ARISTIDA HOLATHERA",2806,"ethadb.au",14.5,3,-11.5,67,8.4875,0.7,2.975,5.62,NA,NA,NA,0.375,"GRASS","ANNUAL","GRASS"
"71","AVENA BARBATA",5903,"scruzm.us",75.91367574,66.17974404,-9.7339317,105,17,0.389,NA,25.674375,0.5,0.02363125,149,0.373688235,"GRASS","ANNUAL","GRASS"
"72","AVENA BARBATA",4559,"naposta.ar",15,20,5,105,17,0.389,NA,25.674375,0.5,0.02363125,149,0.373688235,"GRASS","ANNUAL","GRASS"
"73","AVENA BARBATA",5826,"scruzl.us",5.472445967,1.2195122,-4.252933767,105,17,0.389,NA,25.674375,0.5,0.02363125,149,0.373688235,"GRASS","ANNUAL","GRASS"
"80","BOUTELOUA ARISTIDOIDES",1732,"cerrillos.ar",12.815,36.565,23.75,127,15.9,0.04,NA,12.89,0.3,NA,103.65,NA,"GRASS","ANNUAL","GRASS"
"85","BRACHYPODIUM DISTACHYON",5910,"scruzm.us",1.0416667,1.8348624,0.7931957,132,21.9,0.1005,NA,30.85889908,0.5,NA,NA,NA,"FORB","ANNUAL","GRASS"
"90","BRIZA MAXIMA",5710,"scruzh.us",26.74486566,39.30012252,12.55525686,137,10.2,0.6096,NA,NA,0.254,NA,120.3,0.57,"FORB","ANNUAL","GRASS"
"91","BRIZA MAXIMA",5913,"scruzm.us",2.45535715,3.6697248,1.21436765,137,10.2,0.6096,NA,NA,0.254,NA,120.3,0.57,"FORB","ANNUAL","GRASS"
"96","BROMUS DIANDRUS",5919,"scruzm.us",2.25851305,2.1978022,-0.06071085,142,19.4,0.99,NA,39,NA,NA,238.8,NA,"GRASS","ANNUAL","GRASS"
"97","BROMUS DIANDRUS",5832,"scruzl.us",11.6161616,1.2195122,-10.3966494,142,19.4,0.99,NA,39,NA,NA,238.8,NA,"GRASS","ANNUAL","GRASS"
"100","BROMUS HORDEACEUS",440,"baddrt.de",0.55,0.01,-0.54,144,25.57289667,0.6899,10.2,27.25455017,0.254,0.137083333,471.2364007,0.2,"GRASS","ANNUAL","GRASS"
"101","BROMUS HORDEACEUS",5718,"scruzh.us",2.6345738,2.76928305,0.13470925,144,25.57289667,0.6899,10.2,27.25455017,0.254,0.137083333,471.2364007,0.2,"GRASS","ANNUAL","GRASS"
"103","BROMUS JAPONICUS",4900,"oreaa.us",0.5,0.5,0,146,20.898,0.424044444,NA,19.31803729,1.5,NA,NA,0.54,"GRASS","ANNUAL","GRASS"
"104","BROMUS JAPONICUS",1502,"cdpt_drt.us",2,4,2,146,20.898,0.424044444,NA,19.31803729,1.5,NA,NA,0.54,"GRASS","ANNUAL","GRASS"
"105","BROMUS JAPONICUS",5014,"oreac.us",3,13.1,10.1,146,20.898,0.424044444,NA,19.31803729,1.5,NA,NA,0.54,"GRASS","ANNUAL","GRASS"
"106","BROMUS RUBENS",4612,"nnss.us",2.98615225,0.48253192,-2.50362033,147,28.7686987,0.39624,NA,18.713372,0.2032,NA,NA,NA,"GRASS","ANNUAL","GRASS"
"107","BROMUS RUBENS",2912,"gmgranite.us",0.5,0.5,0,147,28.7686987,0.39624,NA,18.713372,0.2032,NA,NA,NA,"GRASS","ANNUAL","GRASS"
"108","BROMUS RUBENS",2943,"gmmolar.us",1.285714286,1.428571429,0.142857143,147,28.7686987,0.39624,NA,18.713372,0.2032,NA,NA,NA,"GRASS","ANNUAL","GRASS"
"109","BROMUS RUBENS",1401,"capmcd.us",0.5,0.5,0,147,28.7686987,0.39624,NA,18.713372,0.2032,NA,NA,NA,"GRASS","ANNUAL","GRASS"
"110","BROMUS STERILIS",444,"baddrt.de",0.1025,5,4.8975,149,27.9,0.658333333,NA,30.5349098,1.5,0.4459545,279.231,NA,"GRASS","ANNUAL","GRASS"
"111","BROMUS STERILIS",2110,"cowidrt.ca",13,3.333333333,-9.666666667,149,27.9,0.658333333,NA,30.5349098,1.5,0.4459545,279.231,NA,"GRASS","ANNUAL","GRASS"
"112","BROMUS TECTORUM",4656,"nplatte.us",6.333333333,14.14285714,7.80952381,150,18.768,0.198681818,7.006735802,17.28496,0.90288,0.47,31.204325,0.57,"GRASS","ANNUAL","GRASS"
"113","BROMUS TECTORUM",3047,"hard.us",2,5,3,150,18.768,0.198681818,7.006735802,17.28496,0.90288,0.47,31.204325,0.57,"GRASS","ANNUAL","GRASS"
"114","BROMUS TECTORUM",4613,"nnss.us",4.38977668,0.882379229,-3.507397451,150,18.768,0.198681818,7.006735802,17.28496,0.90288,0.47,31.204325,0.57,"GRASS","ANNUAL","GRASS"
"232","ERAGROSTIS DIELSII",2335,"credom.au",1.25,0.5,-0.75,349,NA,0.3,NA,5.7,NA,NA,NA,NA,"GRASS","ANNUAL","GRASS"
"316","HORDEUM PUSILLUM",4342,"marcdrt.ar",1.5,1,-0.5,499,NA,0.36576,NA,32.4,0.2032,0.278984039,157.1579379,0.1830875,"GRASS","ANNUAL","GRASS"
"362","LOLIUM PERENNE",5873,"scruzl.us",8.358448867,3.0194805,-5.338968367,589,19.23,0.429,9.7,18.31,0.254,0.104845371,220.8471095,0.1,"GRASS","ANNUAL","GRASS"
"363","LOLIUM PERENNE",5948,"scruzm.us",3.6458333,1.8181818,-1.8276515,589,19.23,0.429,9.7,18.31,0.254,0.104845371,220.8471095,0.1,"GRASS","ANNUAL","GRASS"
"399","PANICUM CAPILLARE",3934,"konzadrt.us",9,1.5,-7.5,674,17.0314031,0.43545,NA,27.43942379,0.62,0.14,218,0.1917,"GRASS","ANNUAL","GRASS"
"500","SCHISMUS BARBATUS",2937,"gmgranite.us",3.142857143,3.714285714,0.571428571,852,NA,0.25,NA,18.21,0.16,NA,81.47,NA,"GRASS","ANNUAL","GRASS"
"501","SCHISMUS BARBATUS",6153,"spvdrt.ar",2.333333333,1.333333333,-1,852,NA,0.25,NA,18.21,0.16,NA,81.47,NA,"GRASS","ANNUAL","GRASS"
"514","SECALE SYLVESTRE",3839,"kiskun.hu",0.0325,0.146,0.1135,863,NA,NA,NA,13.43,NA,NA,NA,NA,"GRASS","ANNUAL","GRASS"
"603","VENTENATA DUBIA",4988,"oreaa.us",5.8,8.75,2.95,1001,NA,0.225,NA,20.5,NA,NA,NA,0.28,"GRASS","ANNUAL","GRASS"
"604","VENTENATA DUBIA",5078,"oreac.us",3.833333333,1,-2.833333333,1001,NA,0.225,NA,20.5,NA,NA,NA,0.28,"GRASS","ANNUAL","GRASS"
"622","VULPIA BROMOIDES",6167,"spvdrt.ar",2,1,-1,1020,NA,0.2225,NA,20.86,0.4995,NA,417.75,0.2945,"GRASS","ANNUAL","GRASS"
"623","VULPIA MYUROS",3446,"jilpanger.au",0.5,0.5,0,1021,17.1507779,0.435733333,7.5,22.38333333,0.3048,0.044,268.91,NA,"GRASS","ANNUAL","GRASS"
"624","VULPIA MYUROS",5822,"scruzh.us",29.64858413,4.135648425,-25.51293571,1021,17.1507779,0.435733333,7.5,22.38333333,0.3048,0.044,268.91,NA,"GRASS","ANNUAL","GRASS"
"625","VULPIA MYUROS",556,"baddrt.de",4.342857143,3.533333333,-0.80952381,1021,17.1507779,0.435733333,7.5,22.38333333,0.3048,0.044,268.91,NA,"GRASS","ANNUAL","GRASS"
"626","VULPIA MYUROS",5897,"scruzl.us",31.55694768,22.72727275,-8.829674925,1021,17.1507779,0.435733333,7.5,22.38333333,0.3048,0.044,268.91,NA,"GRASS","ANNUAL","GRASS"
