"","Taxon","site_code","X.x","n_treat_years.x","sum.ctrl.cover.x","mean.ctrl.cover.x","sum.drt.cover.x","mean.drt.cover.x","sum.cover.response.x","mean.cover.response.x","X.1","X.y","n_treat_years.y","sum.ctrl.cover.y","mean.ctrl.cover.y","sum.drt.cover.y","mean.drt.cover.y","sum.cover.response.y","mean.cover.response.y","diff.drt.trt","leafN.mg.g","height.m","rootN.mg.g","SLA_m2.kg","root.depth_m","RTD.g.cm3","SRL_m.g","rootDiam.mm","local_lifeform","local_lifespan","functional_group","site.id"
"235","ERIGERON STRIGOSUS","oklah.us",4776,1,3.5,1.75,3.5,1.75,0,0,4777,4777,2,18,9,3,3,-15,-6,1.25,12.3765,0.566,NA,24.97386549,0.254,NA,NA,NA,"FORB","PERENNIAL","FORB",32
"66","ASTRANTIA MAJOR","pineta.es",5344,1,3,3,24,8,21,5,5345,5345,2,3.5,1.75,27.5,5.5,24,3.75,-2.5,28.539,0.4215,NA,22.75909384,NA,NA,NA,NA,"FORB","PERENNIAL","FORB",37
"182","CRUCIATA GLABRA","pineta.es",5348,1,0.5,0.5,0.5,0.5,0,0,5349,5349,2,0.5,0.5,1,0.5,0.5,0,0,17.002,0.194,NA,21.52069774,0.14,NA,NA,NA,"FORB","PERENNIAL","FORB",37
"192","DACTYLORHIZA MACULATA","pineta.es",5351,1,2,0.5,4.5,1.125,2.5,0.625,5352,5352,2,1.5,0.5,1,0.5,-0.5,0,-0.625,22.6,0.6,NA,24.23285714,NA,NA,NA,NA,"FORB","PERENNIAL","FORB",37
"193","DACTYLORHIZA MACULATA","lygraint.no",4111,1,1,1,0,0,-1,-1,4112,4112,2,2,2,1,1,-1,-1,1,22.6,0.6,NA,24.23285714,NA,NA,NA,NA,"FORB","PERENNIAL","FORB",26
"226","Epipactis PALUSTRIS","pineta.es",5355,1,31,15.5,3,3,-28,-12.5,5356,5356,2,24,8,3,3,-21,-5,0,NA,NA,NA,22.62,NA,NA,NA,NA,"FORB","PERENNIAL","FORB",37
"274","GALIUM SAXATILE","lygraint.no",4129,1,3,3,2,1,-1,-2,4130,4130,2,3,3,2,2,-1,-1,1,25.1,0.175,NA,25.08983957,NA,NA,NA,NA,"FORB","PERENNIAL","FORB",26
"287","GYMNADENIA CONOPSEA","pineta.es",5362,1,0,0,1,0.5,1,0.5,5363,5363,2,0,0,1,0.5,1,0.5,0,28.85621237,0.45,NA,19.92759166,0.07,NA,NA,NA,"FORB","PERENNIAL","FORB",37
"303","HEPATICA NOBILIS","pineta.es",5364,1,0,0,6,3,6,3,5365,5365,2,0.5,0.5,3.5,1.75,3,1.25,-1.25,24,NA,NA,27.165,NA,NA,NA,NA,"FORB","PERENNIAL","FORB",37
"362","LYSIMACHIA EUROPAEA","lygraint.no",4147,1,4,2,2,1,-2,-1,4148,4148,2,14,4.666666667,3,1,-11,-3.666666667,0,32.8,0.09,NA,51,NA,NA,NA,NA,"FORB","PERENNIAL","FORB",26
"374","NARTHECIUM OSSIFRAGUM","lygraold.no",4249,1,0,0,6,3,6,3,4250,4250,2,0,0,2,2,2,2,-1,24.7,0.2325,NA,24.15,0.22,NA,NA,NA,"FORB","PERENNIAL","FORB",27
"378","NEOTTIA OVATA","pineta.es",5369,1,3,3,7,1.75,4,-1.25,5370,5370,2,3,3,4,1.333333333,1,-1.666666667,-0.416666667,NA,0.32,NA,30.18571429,NA,NA,NA,NA,"FORB","PERENNIAL","FORB",37
"438","POTENTILLA ERECTA","pineta.es",5376,1,3,3,3,3,0,0,5377,5377,2,1,0.5,3,3,2,2.5,0,25.74581524,0.203633333,9.89,22.4188617,0.55,0.3627833,230,0.88602,"FORB","PERENNIAL","FORB",37
"439","POTENTILLA ERECTA","lygraold.no",4261,1,3,3,3,3,0,0,4262,4262,2,3,3,8,8,5,5,5,25.74581524,0.203633333,9.89,22.4188617,0.55,0.3627833,230,0.88602,"FORB","PERENNIAL","FORB",27
"440","POTENTILLA ERECTA","lygraint.no",4165,1,8,2.666666667,7,2.333333333,-1,-0.333333333,4166,4166,2,12,6,8,2.666666667,-4,-3.333333333,0.333333334,25.74581524,0.203633333,9.89,22.4188617,0.55,0.3627833,230,0.88602,"FORB","PERENNIAL","FORB",26
"451","PTILOTUS POLYSTACHYUS","ethadb.au",2830,1,0,0,42,21,42,21,2831,2831,2,0,0,0.1,0.1,0.1,0.1,-20.9,23.98,1,NA,9.6,NA,NA,37,NA,"FORB","PERENNIAL","FORB",18
"507","SOLIDAGO VIRGAUREA","pineta.es",5379,1,11,5.5,0,0,-11,-5.5,5380,5380,2,3,3,0.5,0.5,-2.5,-2.5,0.5,28.29400969,0.509,16.4,25.12385635,0.046,NA,4.546172562,0.524574564,"FORB","PERENNIAL","FORB",37
"563","TRIENTALIS EUROPEA","lygraold.no",4280,1,1,1,1,1,0,0,4281,4281,2,1,1,2,1,1,0,0,NA,NA,NA,47.591,NA,NA,NA,NA,"FORB","PERENNIAL","FORB",27
"1","ACAENA PINNATIFIDA","paike.ar",5089,1,0,0,2,1,2,1,5090,5090,2,0,0,2,1,2,1,0,NA,0.025,NA,9.38,NA,NA,NA,NA,"FORB","PERENNIAL","FORB",35
"2","ACHILLEA MILLEFOLIUM","kinsella.ca",3729,1,5,5,30,15,25,10,3730,3730,2,5,5,30,15,25,10,0,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,"FORB","PERENNIAL","FORB",24
"3","ACHILLEA MILLEFOLIUM","elvadrt.ee",2523,1,6,2,20,6.666666667,14,4.666666667,2524,2524,2,9,3,17,5.666666667,8,2.666666667,-1,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,"FORB","PERENNIAL","FORB",16
"4","ACHILLEA MILLEFOLIUM","jenadrt.de",3160,1,19,19,0,0,-19,-19,3161,3161,2,32,32,1,1,-31,-31,1,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,"FORB","PERENNIAL","FORB",21
"5","ACHILLEA MILLEFOLIUM","oreac.us",4999,1,8,2.666666667,5.5,1.833333333,-2.5,-0.833333333,5000,5000,2,7,3.5,2,1,-5,-2.5,-0.833333333,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,"FORB","PERENNIAL","FORB",34
"6","ACHILLEA MILLEFOLIUM","brookdale.ca",1271,1,1,1,1.5,1.5,0.5,0.5,1272,1272,2,1,1,1,1,0,0,-0.5,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,"FORB","PERENNIAL","FORB",8
"7","ACHILLEA MILLEFOLIUM","kernb.ca",3494,1,4,1.333333333,8,2.666666667,4,1.333333333,3495,3495,2,2.5,0.833333333,9,3,6.5,2.166666667,0.333333333,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,"FORB","PERENNIAL","FORB",22
"8","ACHILLEA MILLEFOLIUM","allmendo.ch",162,1,1.25,1.25,0.75,0.75,-0.5,-0.5,163,163,2,1.5,1.5,1.25,1.25,-0.25,-0.25,0.5,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,"FORB","PERENNIAL","FORB",2
"9","ACHILLEA MILLEFOLIUM","allmendb.ch",2,1,5.5,1.833333333,3.75,1.25,-1.75,-0.583333333,3,3,2,5.25,1.75,4.25,1.416666667,-1,-0.333333333,0.166666667,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,"FORB","PERENNIAL","FORB",1
"10","ACHILLEA MILLEFOLIUM","hard.us",3038,1,1,1,2,2,1,1,3039,3039,2,2,2,5,1.666666667,3,-0.333333333,-0.333333333,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,"FORB","PERENNIAL","FORB",20
"11","AGASTACHE FOENICULUM","brookdale.ca",1275,1,0,0,3,1.5,3,1.5,1276,1276,2,0,0,1.5,1.5,1.5,1.5,0,14.7,NA,NA,15.29,0.124,0.18,56.33396667,0.42,"FORB","PERENNIAL","FORB",8
"12","AGRIMONIA EUPATORIA","elvadrt.ee",2529,1,0,0,1,1,1,1,2530,2530,2,0,0,1,1,1,1,0,14.78,0.087,14.78,13.66,1.55,0.1143,0.335,NA,"FORB","PERENNIAL","FORB",16
"18","ALCHEMILLA PENTAPHYLLEA","passogavia.it",5256,1,175,35,269,53.8,94,18.8,5257,5257,2,181,36.2,260,52,79,15.8,-1.8,37,NA,NA,21,NA,NA,NA,NA,"FORB","PERENNIAL","FORB",36
"19","ALLIONIA INCARNATA","cerrillos.ar",1724,1,1.88,0.94,1.25,1.25,-0.63,0.31,1725,1725,2,1.26,0.63,1.88,1.88,0.62,1.25,0.63,NA,0.4,NA,21.88917424,0.4,NA,10.31,0.665,"FORB","PERENNIAL","FORB",11
"20","ALLIUM ACUMINATUM","oreaa.us",4892,1,0,0,1,1,1,1,4893,4893,2,1,1,0.5,0.5,-0.5,-0.5,-0.5,NA,0.3048,NA,8.45,0.1524,NA,NA,1.64,"FORB","PERENNIAL","FORB",33
"23","AMBROSIA PSILOSTACHYA","slp.us",6006,1,2,2,31,10.33333333,29,8.333333333,6007,6007,2,2,2,2,1,0,-1,-9.33333333,23.246,0.4385,12.9,15.82842,0.99,0.37,72.86943333,0.44,"FORB","PERENNIAL","FORB",41
"24","AMBROSIA PSILOSTACHYA","oklah.us",4718,1,55.5,18.5,38,19,-17.5,0.5,4719,4719,2,55.5,18.5,33,11,-22.5,-7.5,-8,23.246,0.4385,12.9,15.82842,0.99,0.37,72.86943333,0.44,"FORB","PERENNIAL","FORB",32
"25","AMBROSIA TENUIFOLIA","marcdrt.ar",4302,1,4,1.333333333,2,1,-2,-0.333333333,4303,4303,2,3,1.5,2,2,-1,0.5,1,18.2,4.572,NA,9.366271504,0.6096,NA,NA,NA,"FORB","PERENNIAL","FORB",28
"26","AMBROSIA TENUIFOLIA","chilcasdrt.ar",1902,1,10.5,2.1,17.75,2.958333333,7.25,0.858333333,1903,1903,2,2,2,0.5,0.25,-1.5,-1.75,-2.708333333,18.2,4.572,NA,9.366271504,0.6096,NA,NA,NA,"FORB","PERENNIAL","FORB",12
"45","ARMERIA MARITIMA","paike.ar",5113,1,3,1,2,1,-1,0,5114,5114,2,3,1,2,1,-1,0,0,17,0.308106667,9.3,21.1502,0.254,0.2612175,57.875,0.221876923,"FORB","PERENNIAL","FORB",35
"55","ARTEMISIA LUDOVICIANA","kernb.ca",3520,1,2,1,9,3,7,2,3521,3521,2,0.5,0.5,3.5,1.75,3,1.25,-1.25,19.24454545,0.597,11.63,16.4954108,0.2032,0.222016659,76.92231348,0.31821746,"FORB","PERENNIAL","FORB",22
"56","ARTEMISIA LUDOVICIANA","cedarsav.us",1552,1,1,1,1,1,0,0,1553,1553,2,11,2.75,2,2,-9,-0.75,1,19.24454545,0.597,11.63,16.4954108,0.2032,0.222016659,76.92231348,0.31821746,"FORB","PERENNIAL","FORB",9
"57","ARTEMISIA LUDOVICIANA","kernnu.ca",3636,1,1.5,0.75,6,3,4.5,2.25,3637,3637,2,0.5,0.5,5,2.5,4.5,2,-0.5,19.24454545,0.597,11.63,16.4954108,0.2032,0.222016659,76.92231348,0.31821746,"FORB","PERENNIAL","FORB",23
"58","ARTEMISIA LUDOVICIANA","brookdale.ca",1292,1,6.25,1.25,9.75,1.95,3.5,0.7,1293,1293,2,5.666666667,1.133333333,5.833333333,1.458333333,0.166666666,0.325,-0.491666667,19.24454545,0.597,11.63,16.4954108,0.2032,0.222016659,76.92231348,0.31821746,"FORB","PERENNIAL","FORB",8
"59","ARTEMISIA LUDOVICIANA","biddulph.ca",853,1,0,0,1,1,1,1,854,854,2,0,0,3,3,3,3,2,19.24454545,0.597,11.63,16.4954108,0.2032,0.222016659,76.92231348,0.31821746,"FORB","PERENNIAL","FORB",7
"62","ASPERULA CYNANCHICA","allmendb.ch",11,1,0.5,0.25,0.25,0.25,-0.25,0,12,12,2,0.75,0.375,0.25,0.25,-0.5,-0.125,0,NA,0.284375,NA,27.91666667,0.93,0.3908625,22.875,0.16639,"FORB","PERENNIAL","FORB",1
"63","ASPERULA CYNANCHICA","allmendo.ch",170,1,1.25,0.416666667,4.75,2.375,3.5,1.958333333,171,171,2,1,0.5,4.75,2.375,3.75,1.875,0,NA,0.284375,NA,27.91666667,0.93,0.3908625,22.875,0.16639,"FORB","PERENNIAL","FORB",2
"64","ASPERULA GUNNII","falls.au",2867,1,1,0.5,0,0,-1,-0.5,2868,2868,2,1.5,0.5,0.5,0.5,-1,0,0.5,NA,0.432,NA,21.796842,NA,NA,NA,NA,"FORB","PERENNIAL","FORB",19
"72","BELLIS PERENNIS","jenadrt.de",3187,1,28,9.333333333,15,5,-13,-4.333333333,3188,3188,2,22,7.333333333,4,1.333333333,-18,-6,-3.666666667,17.81,0.165,8.4,34.15,0.18,0.130088142,324.9590331,0.243322583,"FORB","PERENNIAL","FORB",21
"74","BOERHAVIA DIFFUSA","cerrillos.ar",1733,1,0,0,0.63,0.63,0.63,0.63,1734,1734,2,4.38,4.38,1.25,1.25,-3.13,-3.13,0.62,NA,0.55,NA,20.76,1.2,NA,14.29,NA,"FORB","PERENNIAL","FORB",11
"111","CALYLOPHUS SERRULATUS","oklah.us",4739,1,15,15,15,15,0,0,4740,4740,2,15,15,15,15,0,0,0,NA,NA,NA,11.69,1.33,NA,NA,NA,"FORB","PERENNIAL","FORB",32
"112","CAMASSIA QUAMASH","cowidrt.ca",2121,1,6,3,5,5,-1,2,2122,2122,2,9,4.5,5,5,-4,0.5,0,NA,0.70104,NA,12.08,0.254,NA,NA,NA,"GRASS","PERENNIAL","FORB",14
"113","CAMPANULA PATULA","elvadrt.ee",2557,1,0,0,2,1,2,1,2558,2558,2,0,0,1,1,1,1,0,NA,0.4375,14.26593954,33.98333333,0.29,0.0375,NA,0.265133333,"FORB","PERENNIAL","FORB",16
"114","CAMPANULA ROTUNDIFOLIA","kernb.ca",3530,1,0,0,0.5,0.5,0.5,0.5,3531,3531,2,0.5,0.5,0.5,0.5,0,0,0,21.08333333,0.452,13.14618087,22.94812699,1.125,0.146551312,475.6578007,0.141566667,"FORB","PERENNIAL","FORB",22
"115","CAMPANULA ROTUNDIFOLIA","kernnu.ca",3646,1,0.5,0.5,1,0.5,0.5,0,3647,3647,2,1,1,2,0.666666667,1,-0.333333333,0.166666667,21.08333333,0.452,13.14618087,22.94812699,1.125,0.146551312,475.6578007,0.141566667,"FORB","PERENNIAL","FORB",23
"116","CAMPANULA ROTUNDIFOLIA","biddulph.ca",859,1,0,0,4,4,4,4,860,860,2,0,0,7,7,7,7,3,21.08333333,0.452,13.14618087,22.94812699,1.125,0.146551312,475.6578007,0.141566667,"FORB","PERENNIAL","FORB",7
"126","CAREX DISTACHYA","ayora.es",345,1,15,7.5,5,2.5,-10,-5,346,346,2,4,2,1,1,-3,-1,-1.5,NA,0.1756,NA,4.8,0.91,NA,NA,NA,"GRAMINOID","PERENNIAL","FORB",4
"134","CELMISIA COSTINIANA","falls.au",2877,1,260,43.33333333,145,48.33333333,-115,5,2878,2878,2,320,53.33333333,165,55,-155,1.666666667,6.66666667,NA,0.515,NA,9.655537,NA,NA,NA,NA,"FORB","PERENNIAL","FORB",19
"137","CENTAUREA JACEA","rhijn.nl",5530,1,28,7,13,6.5,-15,-0.5,5531,5531,2,31,6.2,5,5,-26,-1.2,-1.5,25.06160617,0.8275,11.34202,21.9478316,0.155,0.133545753,116.6184597,0.328737037,"FORB","PERENNIAL","FORB",38
"138","CENTAUREA JACEA","allmendo.ch",195,1,2,1,4.5,2.25,2.5,1.25,196,196,2,2,1,4.75,2.375,2.75,1.375,0.125,25.06160617,0.8275,11.34202,21.9478316,0.155,0.133545753,116.6184597,0.328737037,"FORB","PERENNIAL","FORB",2
"139","CENTAUREA JACEA","allmendb.ch",39,1,7,2.333333333,3,1.5,-4,-0.833333333,40,40,2,6,2,2.5,1.25,-3.5,-0.75,-0.25,25.06160617,0.8275,11.34202,21.9478316,0.155,0.133545753,116.6184597,0.328737037,"FORB","PERENNIAL","FORB",1
"140","CENTAUREA SCABIOSA","allmendo.ch",199,1,8.25,4.125,5.25,1.75,-3,-2.375,200,200,2,8.75,4.375,3.5,1.166666667,-5.25,-3.208333333,-0.583333333,22.3,0.9625,NA,16.2315625,2.708833,NA,NA,NA,"FORB","PERENNIAL","FORB",2
"141","CENTAUREA SCABIOSA","allmendb.ch",43,1,15.5,5.166666667,21.75,7.25,6.25,2.083333333,44,44,2,21.5,7.166666667,21.75,7.25,0.25,0.083333333,0,22.3,0.9625,NA,16.2315625,2.708833,NA,NA,NA,"FORB","PERENNIAL","FORB",1
"142","CERASTIUM ARVENSE","paike.ar",5143,1,2,1,1,1,-1,0,5144,5144,2,2,1,1,1,-1,0,0,NA,0.188888889,NA,21.10181624,0.22,0.486326636,91.58154988,0.188766667,"FORB","PERENNIAL","FORB",35
"143","CERASTIUM ARVENSE","matador.ca",4421,1,7,3.5,1.5,0.75,-5.5,-2.75,4422,4422,2,1,1,1,0.5,0,-0.5,-0.25,NA,0.188888889,NA,21.10181624,0.22,0.486326636,91.58154988,0.188766667,"FORB","PERENNIAL","FORB",29
"144","CERASTIUM ARVENSE","kernnu.ca",3653,1,0.5,0.5,1.5,0.75,1,0.25,3654,3654,2,0.5,0.5,2,2,1.5,1.5,1.25,NA,0.188888889,NA,21.10181624,0.22,0.486326636,91.58154988,0.188766667,"FORB","PERENNIAL","FORB",23
"145","CERASTIUM ARVENSE","cowidrt.ca",2132,1,2,2,3,1.5,1,-0.5,2133,2133,2,2,2,2,2,0,0,0.5,NA,0.188888889,NA,21.10181624,0.22,0.486326636,91.58154988,0.188766667,"FORB","PERENNIAL","FORB",14
"146","CERASTIUM ARVENSE","kernb.ca",3535,1,5,2.5,2.5,1.25,-2.5,-1.25,3536,3536,2,0.5,0.5,0.5,0.5,0,0,-0.75,NA,0.188888889,NA,21.10181624,0.22,0.486326636,91.58154988,0.188766667,"FORB","PERENNIAL","FORB",22
"147","CERASTIUM ARVENSE","biddulph.ca",864,1,0,0,2,2,2,2,865,865,2,0,0,0.5,0.5,0.5,0.5,-1.5,NA,0.188888889,NA,21.10181624,0.22,0.486326636,91.58154988,0.188766667,"FORB","PERENNIAL","FORB",7
"148","CERASTIUM ARVENSE","cmss.us",2034,1,4,2,10,5,6,3,2035,2035,2,15,5,27,9,12,4,4,NA,0.188888889,NA,21.10181624,0.22,0.486326636,91.58154988,0.188766667,"FORB","PERENNIAL","FORB",13
"149","CERASTIUM ARVENSE","elvadrt.ee",2561,1,2,1,2,1,0,0,2562,2562,2,2,1,3,1,1,0,0,NA,0.188888889,NA,21.10181624,0.22,0.486326636,91.58154988,0.188766667,"FORB","PERENNIAL","FORB",16
"150","CERASTIUM FONTANUM","jenadrt.de",3200,1,4,1.333333333,1.5,0.5,-2.5,-0.833333333,3201,3201,2,5,1.666666667,1.5,0.75,-3.5,-0.916666667,0.25,24.9755,0.218333333,8.721238939,25.83139407,NA,0.133299797,101.6244572,0.282,"FORB","PERENNIAL","FORB",21
